gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0052200211,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (9:51 PM EST),period,start,0,0,1
0052200211,4,PT12M00.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Jump Ball Gobert vs. Jay. Williams: Tip to Edwards,Jump Ball,,1,0,2
0052200211,7,PT11M33.00S,1,1610612750,MIN,1629638,Alexander-Walker,N. Alexander-Walker,-58,22,6,Made,1,2,0,2,h,Alexander-Walker 6' Floating Jump Shot (2 PTS) (Edwards 1 AST),Made Shot,Floating Jump shot,1,2,3
0052200211,9,PT11M18.00S,1,1610612760,OKC,1630581,Giddey,J. Giddey,0,0,0,,0,,,0,v,Giddey Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,4
0052200211,9,PT11M18.00S,1,1610612750,MIN,1629638,Alexander-Walker,N. Alexander-Walker,0,0,0,,0,,,0,h,Alexander-Walker STEAL (1 STL),,,1,0,5
0052200211,11,PT11M10.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,-5,32,3,Missed,1,,,0,h,MISS Edwards 3' Driving Layup,Missed Shot,Driving Layup Shot,1,2,6
0052200211,11,PT11M10.00S,1,1610612760,OKC,1631119,Williams,J. Williams,0,0,0,,0,,,0,v,Jay. Williams BLOCK (1 BLK),,,1,2,7
0052200211,13,PT11M08.00S,1,1610612760,OKC,1631119,Williams,J. Williams,0,0,0,,0,,,0,v,Jay. Williams REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,8
0052200211,14,PT10M53.00S,1,1610612760,OKC,1629652,Dort,L. Dort,-112,238,26,Made,1,2,3,5,v,Dort 26' 3PT Jump Shot (3 PTS) (Jal. Williams 1 AST),Made Shot,Jump Shot,1,3,9
0052200211,16,PT10M24.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,227,77,24,Missed,1,,,0,h,MISS Edwards 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,10
0052200211,17,PT10M21.00S,1,1610612760,OKC,1631119,Williams,J. Williams,0,0,0,,0,,,0,v,Jay. Williams REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,11
0052200211,18,PT10M09.00S,1,1610612760,OKC,1631114,Williams,J. Williams,-82,57,10,Made,1,2,5,7,v,Jal. Williams 10' Step Back Jump Shot (2 PTS) (Giddey 1 AST),Made Shot,Step Back Jump shot,1,2,12
