gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0051900111,141,PT00M56.80S,1,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic REBOUND (Off:0 Def:7),Rebound,Unknown,1,0,109
0051900111,142,PT00M40.30S,1,1610612757,POR,1629018,Trent Jr.,G. Trent Jr.,0,0,0,,0,0,0,0,h,Trent Jr. Bad Pass Turnover (P1.T5),Turnover,Bad Pass,1,0,110
0051900111,142,PT00M40.30S,1,1610612763,MEM,1629001,Melton,D. Melton,0,0,0,,0,0,0,0,v,Melton STEAL (2 STL),,,1,0,111
0051900111,144,PT00M35.90S,1,1610612763,MEM,1629001,Melton,D. Melton,-2,13,1,Missed,1,0,0,0,v,MISS Melton 1' Running Layup,Missed Shot,Running Layup Shot,1,2,112
0051900111,144,PT00M35.90S,1,1610612757,POR,1626209,Hezonja,M. Hezonja,0,0,0,,0,0,0,0,h,Hezonja BLOCK (1 BLK),,,1,2,113
0051900111,146,PT00M32.90S,1,1610612757,POR,203081,Lillard,D. Lillard,0,0,0,,0,0,0,0,h,Lillard REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,114
0051900111,147,PT00M27.10S,1,1610612757,POR,202355,Whiteside,H. Whiteside,9,14,2,Missed,1,0,0,0,h,MISS Whiteside 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,1,2,115
0051900111,148,PT00M26.10S,1,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic REBOUND (Off:1 Def:7),Rebound,Unknown,1,0,116
0051900111,149,PT00M26.10S,1,1610612763,MEM,1629630,Morant,J. Morant,0,0,0,,0,0,0,0,v,Morant S.FOUL (P1.PN) (T.Brown),Foul,Shooting,1,0,117
0051900111,151,PT00M26.10S,1,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,31,16,47,h,Nurkic Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,118
0051900111,152,PT00M26.10S,1,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,MISS Nurkic Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,119
0051900111,153,PT00M23.60S,1,1610612763,MEM,203476,Dieng,G. Dieng,0,0,0,,0,0,0,0,v,Dieng REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,120
0051900111,154,PT00M00.50S,1,1610612763,MEM,1629001,Melton,D. Melton,114,232,26,Made,1,31,19,50,v,Melton 26' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,1,3,121
0051900111,155,PT00M00.10S,1,1610612757,POR,1626209,Hezonja,M. Hezonja,197,651,68,Missed,1,0,0,0,h,MISS Hezonja 68' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,122
0051900111,156,PT00M00.10S,1,0,,1610612757,,,0,0,0,,0,0,0,0,h,TRAIL BLAZERS Rebound,Rebound,Unknown,0,0,123
0051900111,157,PT00M00.00S,1,0,,0,,,0,0,0,,0,31,19,50, ,End of 1st Period (3:09 PM EST),period,end,1,0,124
0051900111,168,PT12M00.00S,2,0,,0,,,0,0,0,,0,31,19,50, ,Start of 2nd Period (3:12 PM EST),period,start,0,0,125
0051900111,169,PT11M45.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,-3,46,5,Made,1,31,21,52,v,Valanciunas 5' Driving Hook Shot (4 PTS),Made Shot,Driving Hook Shot,0,2,126
0051900111,170,PT11M32.00S,2,1610612757,POR,1629018,Trent Jr.,G. Trent Jr.,0,0,0,,0,0,0,0,h,Trent Jr. OFF.Foul (P1) (T.Brown),Foul,Offensive,0,0,127
0051900111,172,PT11M32.00S,2,1610612757,POR,1629018,Trent Jr.,G. Trent Jr.,0,0,0,,0,0,0,0,h,Trent Jr. Offensive Foul Turnover (P2.T6),Turnover,Offensive Foul Turnover,0,0,128
0051900111,173,PT11M19.00S,2,1610612757,POR,202355,Whiteside,H. Whiteside,0,0,0,,0,0,0,0,h,Whiteside S.FOUL (P1.T1) (P.Fraher),Foul,Shooting,1,0,129
0051900111,175,PT11M19.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,31,22,53,v,Valanciunas Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,1,0,130
0051900111,176,PT11M19.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,31,23,54,v,Valanciunas Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,1,0,131
0051900111,177,PT11M06.00S,2,1610612757,POR,202355,Whiteside,H. Whiteside,103,68,12,Missed,1,0,0,0,h,MISS Whiteside 12' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,132
0051900111,178,PT11M04.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,0,0,0,v,Valanciunas REBOUND (Off:2 Def:2),Rebound,Unknown,1,0,133
0051900111,179,PT10M51.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,-6,6,1,Made,1,31,25,56,v,Valanciunas 1' Reverse Dunk (8 PTS) (Anderson 3 AST),Made Shot,Reverse Dunk Shot,1,2,134
0051900111,181,PT10M51.00S,2,0,,1610612757,,,0,0,0,,0,0,0,0,h,TRAIL BLAZERS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,135
0051900111,182,PT10M38.00S,2,1610612757,POR,203468,McCollum,C. McCollum,-89,-2,9,Made,1,33,25,58,h,McCollum 9' Driving Floating Jump Shot (8 PTS),Made Shot,Driving Floating Jump Shot,1,2,136
0051900111,183,PT10M24.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,4,6,1,Made,1,33,27,60,v,Valanciunas 1' Cutting Layup Shot (10 PTS) (Anderson 4 AST),Made Shot,Cutting Layup Shot,1,2,137
0051900111,185,PT10M12.00S,2,1610612757,POR,1626209,Hezonja,M. Hezonja,144,222,26,Missed,1,0,0,0,h,MISS Hezonja 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,138
0051900111,186,PT10M10.00S,2,1610612763,MEM,1629001,Melton,D. Melton,0,0,0,,0,0,0,0,v,Melton REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,139
0051900111,187,PT09M57.00S,2,1610612763,MEM,203937,Anderson,K. Anderson,-9,5,1,Made,1,33,29,62,v,Anderson 1' Driving Layup (5 PTS) (Valanciunas 2 AST),Made Shot,Driving Layup Shot,1,2,140
0051900111,189,PT09M57.00S,2,1610612757,POR,202355,Whiteside,H. Whiteside,0,0,0,,0,0,0,0,h,Whiteside S.FOUL (P2.T2) (J.Capers),Foul,Shooting,1,0,141
0051900111,191,PT09M57.00S,2,1610612763,MEM,1628960,Allen,G. Allen,0,0,0,,0,0,0,0,v,SUB: Brooks FOR Allen,Substitution,,0,0,142
0051900111,193,PT09M57.00S,2,1610612763,MEM,203937,Anderson,K. Anderson,0,0,0,,0,33,30,63,v,Anderson Free Throw 1 of 1 (6 PTS),Free Throw,Free Throw 1 of 1,1,0,143
0051900111,194,PT09M48.00S,2,1610612757,POR,1626209,Hezonja,M. Hezonja,154,225,27,Missed,1,0,0,0,h,MISS Hezonja 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,144
0051900111,195,PT09M44.00S,2,1610612763,MEM,1629001,Melton,D. Melton,0,0,0,,0,0,0,0,v,Melton REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,145
0051900111,196,PT09M44.00S,2,1610612757,POR,1626209,Hezonja,M. Hezonja,0,0,0,,0,0,0,0,h,Hezonja S.FOUL (P1.T3) (T.Brown),Foul,Shooting,1,0,146
0051900111,198,PT09M44.00S,2,1610612763,MEM,201229,Tolliver,A. Tolliver,0,0,0,,0,33,31,64,v,Tolliver Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,147
0051900111,199,PT09M44.00S,2,1610612763,MEM,201229,Tolliver,A. Tolliver,0,0,0,,0,33,32,65,v,Tolliver Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,148
0051900111,238,PT09M27.00S,2,1610612757,POR,2546,Anthony,C. Anthony,-16,80,8,Missed,1,0,0,0,h,MISS Anthony 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,149
0051900111,238,PT09M27.00S,2,1610612763,MEM,201229,Tolliver,A. Tolliver,0,0,0,,0,0,0,0,v,Tolliver BLOCK (1 BLK),,,1,2,150
0051900111,240,PT09M26.00S,2,1610612763,MEM,203937,Anderson,K. Anderson,0,0,0,,0,0,0,0,v,Anderson REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,151
0051900111,201,PT09M19.00S,2,1610612763,MEM,201229,Tolliver,A. Tolliver,2,32,3,Missed,1,0,0,0,v,MISS Tolliver 3' Driving Layup,Missed Shot,Driving Layup Shot,1,2,152
0051900111,201,PT09M19.00S,2,1610612757,POR,2546,Anthony,C. Anthony,0,0,0,,0,0,0,0,h,Anthony BLOCK (1 BLK),,,1,2,153
0051900111,203,PT09M19.00S,2,0,,1610612763,,,0,0,0,,0,0,0,0,v,Grizzlies Rebound,Rebound,Unknown,0,0,154
0051900111,206,PT09M17.00S,2,1610612757,POR,202355,Whiteside,H. Whiteside,0,0,0,,0,0,0,0,h,Whiteside S.FOUL (P3.T4) (P.Fraher),Foul,Shooting,1,0,155
0051900111,208,PT09M17.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,33,33,66,v,Valanciunas Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,1,0,156
0051900111,209,PT09M17.00S,2,1610612757,POR,202355,Whiteside,H. Whiteside,0,0,0,,0,0,0,0,h,SUB: Nurkic FOR Whiteside,Substitution,,0,0,157
0051900111,211,PT09M17.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,33,34,67,v,Valanciunas Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,1,0,158
0051900111,212,PT09M03.00S,2,1610612757,POR,203468,McCollum,C. McCollum,143,222,26,Missed,1,0,0,0,h,MISS McCollum 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,159
0051900111,213,PT09M00.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,0,0,0,v,Valanciunas REBOUND (Off:2 Def:3),Rebound,Unknown,1,0,160
0051900111,214,PT08M58.00S,2,1610612763,MEM,1629001,Melton,D. Melton,-1,11,1,Missed,1,0,0,0,v,MISS Melton 1' Running Layup,Missed Shot,Running Layup Shot,1,2,161
0051900111,214,PT08M58.00S,2,1610612757,POR,1629018,Trent Jr.,G. Trent Jr.,0,0,0,,0,0,0,0,h,Trent Jr. BLOCK (1 BLK),,,1,2,162
0051900111,216,PT08M56.00S,2,0,,1610612763,,,0,0,0,,0,0,0,0,v,Grizzlies Rebound,Rebound,Unknown,0,0,163
0051900111,218,PT08M56.00S,2,1610612757,POR,1626209,Hezonja,M. Hezonja,0,0,0,,0,0,0,0,h,SUB: Lillard FOR Hezonja,Substitution,,0,0,164
0051900111,220,PT08M51.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,49,128,14,Made,1,33,36,69,v,Valanciunas 14' Jump Shot (14 PTS) (Anderson 5 AST),Made Shot,Jump Shot,1,2,165
0051900111,222,PT08M33.00S,2,1610612757,POR,203081,Lillard,D. Lillard,-10,267,27,Made,1,36,36,72,h,Lillard 27' 3PT Pullup Jump Shot (8 PTS) (Nurkic 2 AST),Made Shot,Pullup Jump shot,1,3,166
0051900111,224,PT08M21.00S,2,1610612763,MEM,1628415,Brooks,D. Brooks,-16,274,27,Made,1,36,39,75,v,Brooks 27' 3PT Pullup Jump Shot (5 PTS) (Melton 1 AST),Made Shot,Pullup Jump shot,1,3,167
0051900111,226,PT08M10.00S,2,1610612757,POR,203081,Lillard,D. Lillard,55,281,29,Made,1,39,39,78,h,Lillard 29' 3PT Step Back Jump Shot (11 PTS),Made Shot,Step Back Jump shot,1,3,168
0051900111,227,PT07M57.00S,2,1610612763,MEM,203937,Anderson,K. Anderson,69,46,8,Missed,1,0,0,0,v,MISS Anderson 8' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,1,2,169
0051900111,228,PT07M55.00S,2,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic REBOUND (Off:1 Def:8),Rebound,Unknown,1,0,170
0051900111,229,PT07M47.00S,2,1610612757,POR,203081,Lillard,D. Lillard,-133,218,26,Missed,1,0,0,0,h,MISS Lillard 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,171
0051900111,230,PT07M43.00S,2,1610612763,MEM,201229,Tolliver,A. Tolliver,0,0,0,,0,0,0,0,v,Tolliver REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,172
0051900111,231,PT07M32.00S,2,1610612763,MEM,1628415,Brooks,D. Brooks,125,238,27,Made,1,39,42,81,v,Brooks 27' 3PT Jump Shot (8 PTS) (Valanciunas 3 AST),Made Shot,Jump Shot,1,3,173
