gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0052100211,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (10:22 PM EST),period,start,0,0,1
0052100211,4,PT12M00.00S,1,1610612746,LAC,1627826,Zubac,I. Zubac,0,0,0,,0,,,0,h,Jump Ball Zubac vs. Valanciunas: Tip to Hayes,Jump Ball,,1,0,2
0052100211,7,PT11M40.00S,1,1610612740,NOP,203468,McCollum,C. McCollum,50,130,14,Missed,1,,,0,v,MISS McCollum 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,3
0052100211,8,PT11M35.00S,1,1610612746,LAC,1629611,Mann,T. Mann,0,0,0,,0,,,0,h,Mann REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4
0052100211,9,PT11M28.00S,1,1610612746,LAC,201587,Batum,N. Batum,-125,239,27,Missed,1,,,0,h,MISS Batum 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,5
0052100211,10,PT11M25.00S,1,1610612746,LAC,1627826,Zubac,I. Zubac,0,0,0,,0,,,0,h,Zubac REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,6
0052100211,11,PT11M18.00S,1,1610612746,LAC,1627826,Zubac,I. Zubac,7,48,5,Made,1,2,0,2,h,Zubac 5' Cutting Layup Shot (2 PTS) (Jackson 1 AST),Made Shot,Cutting Layup Shot,1,2,7
0052100211,13,PT11M00.00S,1,1610612740,NOP,202685,Valančiūnas,J. Valančiūnas,-56,253,26,Missed,1,,,0,v,MISS Valanciunas 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,8
0052100211,14,PT10M56.00S,1,1610612746,LAC,201587,Batum,N. Batum,0,0,0,,0,,,0,h,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,9
0052100211,15,PT10M47.00S,1,1610612746,LAC,1629611,Mann,T. Mann,217,123,25,Missed,1,,,0,h,MISS Mann 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,10
0052100211,16,PT10M43.00S,1,1610612740,NOP,1627742,Ingram,B. Ingram,0,0,0,,0,,,0,v,Ingram REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,11
0052100211,17,PT10M37.00S,1,1610612740,NOP,1627742,Ingram,B. Ingram,-26,120,12,Made,1,2,2,4,v,Ingram 12' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,1,2,12
0052100211,18,PT10M16.00S,1,1610612746,LAC,202694,Morris Sr.,M. Morris Sr.,22,15,3,Made,1,4,2,6,h,Morris Sr. 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1,2,13
0052100211,19,PT10M06.00S,1,1610612740,NOP,203468,McCollum,C. McCollum,-175,203,27,Missed,1,,,0,v,MISS McCollum 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,14
