gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0052200131,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (9:52 PM EST),period,start,0,0,1
0052200131,4,PT12M00.00S,1,1610612740,NOP,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,,,0,h, ,Jump Ball,,1,0,2
0052200131,8,PT11M43.00S,1,1610612740,NOP,1630530,Murphy III,T. Murphy III,-116,49,13,Missed,1,,,0,h,MISS Murphy III 13' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,1,2,3
0052200131,9,PT11M42.00S,1,1610612740,NOP,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,,,0,h,Valanciunas REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,4
0052200131,10,PT11M41.00S,1,1610612740,NOP,202685,Valančiūnas,J. Valančiūnas,0,0,0,Made,1,2,0,2,h,Valanciunas Putback Layup (2 PTS),Made Shot,Putback Layup Shot,1,2,5
0052200131,11,PT11M20.00S,1,1610612760,OKC,1631119,Williams,J. Williams,188,171,25,Missed,1,,,0,v,MISS Jay. Williams 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,6
0052200131,12,PT11M17.00S,1,1610612740,NOP,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,,,0,h,Valanciunas REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,7
0052200131,13,PT11M03.00S,1,1610612740,NOP,1630530,Murphy III,T. Murphy III,-131,81,15,Missed,1,,,0,h,MISS Murphy III 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,8
0052200131,14,PT10M59.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,0,0,0,,0,,,0,v,Gilgeous-Alexander REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,9
0052200131,15,PT10M56.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,1,84,8,Missed,1,,,0,v,MISS Gilgeous-Alexander 8' Driving Layup,Missed Shot,Driving Layup Shot,1,2,10
0052200131,15,PT10M56.00S,1,1610612740,NOP,1630529,Jones,H. Jones,0,0,0,,0,,,0,h,Jones BLOCK (1 BLK),,,1,2,11
0052200131,17,PT10M55.00S,1,1610612740,NOP,1630529,Jones,H. Jones,0,0,0,,0,,,0,h,Jones REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,12
0052200131,18,PT10M42.00S,1,1610612740,NOP,1627742,Ingram,B. Ingram,-70,194,21,Missed,1,,,0,h,MISS Ingram 21' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,13
0052200131,19,PT10M37.00S,1,1610612740,NOP,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,,,0,h,Valanciunas REBOUND (Off:2 Def:1),Rebound,Unknown,1,0,14
0052200131,20,PT10M37.00S,1,1610612740,NOP,202685,Valančiūnas,J. Valančiūnas,0,0,0,Made,1,4,0,4,h,Valanciunas Tip Layup Shot (4 PTS),Made Shot,Tip Layup Shot,1,2,15
0052200131,22,PT10M19.00S,1,1610612760,OKC,1629652,Dort,L. Dort,-6,-4,1,Made,1,4,2,6,v,Dort 1' Driving Dunk (2 PTS) (Giddey 1 AST),Made Shot,Driving Dunk Shot,1,2,16
0052200131,24,PT10M04.00S,1,1610612740,NOP,1630530,Murphy III,T. Murphy III,-64,39,7,Missed,1,,,0,h,MISS Murphy III 7' Driving Layup,Missed Shot,Driving Layup Shot,1,2,17
0052200131,25,PT10M00.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,0,0,0,,0,,,0,v,Gilgeous-Alexander REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,18
