actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,gameId
0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0, ,Start of 1st Period (10:45 PM EST),period,start,0,0,1,0021201230
1,PT12M00.00S,1,1610612757,POR,201581,Hickson,J. Hickson,0,0,0,,0,0,0,0,h,Jump Ball Hickson vs. Bogut: Tip to Curry,Jump Ball,,0,0,2,0021201230
2,PT11M43.00S,1,1610612744,GSW,202691,Thompson,K. Thompson,155,153,22,Missed,1,0,0,0,v,MISS Thompson 22' Jump Shot,Missed Shot,Jump Shot,0,2,3,0021201230
3,PT11M42.00S,1,1610612757,POR,201581,Hickson,J. Hickson,0,0,0,,0,0,0,0,h,Hickson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,4,0021201230
4,PT11M32.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,-11,208,21,Missed,1,0,0,0,h,MISS Aldridge 21' Jump Shot,Missed Shot,Jump Shot,0,2,5,0021201230
5,PT11M31.00S,1,1610612744,GSW,101106,Bogut,A. Bogut,0,0,0,,0,0,0,0,v,Bogut REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,6,0021201230
6,PT11M25.00S,1,1610612744,GSW,201939,Curry,S. Curry,111,242,27,Missed,1,0,0,0,v,MISS Curry 27' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,7,0021201230
7,PT11M23.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,0,0,0,,0,0,0,0,h,Aldridge REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,8,0021201230
8,PT11M14.00S,1,1610612757,POR,203115,Barton,W. Barton,70,184,20,Missed,1,0,0,0,h,MISS Barton 20' Jump Shot,Missed Shot,Jump Shot,0,2,9,0021201230
9,PT11M13.00S,1,1610612744,GSW,101135,Lee,D. Lee,0,0,0,,0,0,0,0,v,Lee REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,10,0021201230
10,PT10M52.00S,1,1610612744,GSW,202691,Thompson,K. Thompson,-59,110,12,Missed,1,0,0,0,v,MISS Thompson 12' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,0,2,11,0021201230
11,PT10M51.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,0,0,0,,0,0,0,0,h,Aldridge REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,12,0021201230
12,PT10M39.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,21,47,5,Made,1,2,0,2,h,Aldridge 5' Jump Hook Shot (2 PTS) (Lillard 1 AST),Made Shot,Jump Hook Shot,0,2,13,0021201230
13,PT10M26.00S,1,1610612744,GSW,201939,Curry,S. Curry,84,244,26,Missed,1,0,0,0,v,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,14,0021201230
14,PT10M25.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,0,0,0,,0,0,0,0,h,Aldridge REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,15,0021201230
15,PT10M19.00S,1,1610612744,GSW,201939,Curry,S. Curry,0,0,0,,0,0,0,0,v,Curry P.FOUL (P1.T1),Foul,Personal,0,0,16,0021201230
16,PT10M05.00S,1,1610612757,POR,203115,Barton,W. Barton,127,9,13,Missed,1,0,0,0,h,MISS Barton 13' Jump Shot,Missed Shot,Jump Shot,0,2,17,0021201230
17,PT10M04.00S,1,1610612744,GSW,203084,Barnes,H. Barnes,0,0,0,,0,0,0,0,v,Barnes REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,18,0021201230
18,PT09M49.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,0,0,0,,0,0,0,0,h,Aldridge S.FOUL (P1.T1),Foul,Shooting,0,0,19,0021201230
19,PT09M49.00S,1,1610612744,GSW,101135,Lee,D. Lee,0,0,0,,0,2,1,3,v,Lee Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,20,0021201230
21,PT09M49.00S,1,1610612744,GSW,101135,Lee,D. Lee,0,0,0,,0,2,2,4,v,Lee Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,21,0021201230
23,PT09M29.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,102,44,11,Made,1,4,2,6,h,Aldridge 11' Turnaround Jump Shot (4 PTS),Made Shot,Turnaround Jump Shot,0,2,22,0021201230
24,PT09M13.00S,1,1610612744,GSW,203084,Barnes,H. Barnes,118,99,15,Missed,1,0,0,0,v,MISS Barnes 15' Jump Shot,Missed Shot,Jump Shot,0,2,23,0021201230
25,PT09M12.00S,1,1610612757,POR,201581,Hickson,J. Hickson,0,0,0,,0,0,0,0,h,Hickson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,24,0021201230
26,PT09M02.00S,1,1610612757,POR,203115,Barton,W. Barton,0,0,0,,0,0,0,0,h,Barton Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,25,0021201230
26,PT09M02.00S,1,1610612744,GSW,101135,Lee,D. Lee,0,0,0,,0,0,0,0,v,Lee STEAL (1 STL),,,0,0,26,0021201230
27,PT08M52.00S,1,1610612744,GSW,202691,Thompson,K. Thompson,239,4,24,Made,1,4,5,9,v,Thompson 24' 3PT Jump Shot (3 PTS) (Barnes 1 AST),Made Shot,Jump Shot,0,3,27,0021201230
28,PT08M37.00S,1,1610612757,POR,203081,Lillard,D. Lillard,-13,22,3,Missed,1,0,0,0,h,MISS Lillard 3' Layup,Missed Shot,Layup Shot,0,2,28,0021201230
29,PT08M36.00S,1,1610612744,GSW,101135,Lee,D. Lee,0,0,0,,0,0,0,0,v,Lee REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,29,0021201230
30,PT08M31.00S,1,1610612744,GSW,101135,Lee,D. Lee,9,6,1,Made,1,4,7,11,v,Lee 1' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,0,2,30,0021201230
31,PT08M17.00S,1,1610612744,GSW,101135,Lee,D. Lee,0,0,0,,0,0,0,0,v,Lee P.FOUL (P1.T2),Foul,Personal,0,0,31,0021201230
33,PT07M55.00S,1,1610612757,POR,201964,Claver,V. Claver,22,16,3,Missed,1,0,0,0,h,MISS Claver 3' Layup,Missed Shot,Layup Shot,0,2,32,0021201230
34,PT07M55.00S,1,1610612744,GSW,101106,Bogut,A. Bogut,0,0,0,,0,0,0,0,v,Bogut REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,33,0021201230
36,PT07M43.00S,1,1610612744,GSW,101135,Lee,D. Lee,91,22,9,Missed,1,0,0,0,v,MISS Lee 9' Hook Shot,Missed Shot,Hook Shot,0,2,34,0021201230
36,PT07M43.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,0,0,0,,0,0,0,0,h,Aldridge BLOCK (1 BLK),,,0,2,35,0021201230
37,PT07M42.00S,1,0,,1610612744,,,0,0,0,,0,0,0,0,v,Warriors Rebound,Rebound,Unknown,0,0,36,0021201230
38,PT07M38.00S,1,1610612744,GSW,202691,Thompson,K. Thompson,-139,94,17,Missed,1,0,0,0,v,MISS Thompson 17' Jump Shot,Missed Shot,Jump Shot,0,2,37,0021201230
39,PT07M37.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,0,0,0,,0,0,0,0,h,Aldridge REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,38,0021201230
40,PT07M28.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,1,203,20,Made,1,6,7,13,h,Aldridge 20' Jump Shot (6 PTS) (Lillard 2 AST),Made Shot,Jump Shot,0,2,39,0021201230
41,PT07M19.00S,1,1610612744,GSW,201939,Curry,S. Curry,-65,197,21,Missed,1,0,0,0,v,MISS Curry 21' Jump Shot,Missed Shot,Jump Shot,0,2,40,0021201230
42,PT07M18.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,0,0,0,,0,0,0,0,h,Aldridge REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,41,0021201230
43,PT07M12.00S,1,1610612757,POR,203081,Lillard,D. Lillard,0,0,0,,0,0,0,0,h,Lillard Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,42,0021201230
43,PT07M12.00S,1,1610612744,GSW,101135,Lee,D. Lee,0,0,0,,0,0,0,0,v,Lee STEAL (2 STL),,,0,0,43,0021201230
44,PT06M55.00S,1,1610612744,GSW,201939,Curry,S. Curry,50,254,26,Made,1,6,10,16,v,Curry 26' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,0,3,44,0021201230
45,PT06M38.00S,1,1610612757,POR,201581,Hickson,J. Hickson,0,0,0,,0,0,0,0,h,Hickson OFF.Foul (P1),Foul,Offensive,0,0,45,0021201230
46,PT06M38.00S,1,1610612757,POR,201581,Hickson,J. Hickson,0,0,0,,0,0,0,0,h,Hickson Foul Turnover (P1.T3),Turnover,Foul,0,0,46,0021201230
47,PT06M22.00S,1,1610612744,GSW,101106,Bogut,A. Bogut,86,9,9,Missed,1,0,0,0,v,MISS Bogut 9' Jump Shot,Missed Shot,Jump Shot,0,2,47,0021201230
48,PT06M21.00S,1,1610612757,POR,203115,Barton,W. Barton,0,0,0,,0,0,0,0,h,Barton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,48,0021201230
49,PT06M17.00S,1,1610612757,POR,203115,Barton,W. Barton,24,17,3,Missed,1,0,0,0,h,MISS Barton 3' Driving Layup,Missed Shot,Driving Layup Shot,0,2,49,0021201230
50,PT06M16.00S,1,1610612744,GSW,101106,Bogut,A. Bogut,0,0,0,,0,0,0,0,v,Bogut REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,50,0021201230
51,PT06M08.00S,1,1610612744,GSW,101135,Lee,D. Lee,18,19,3,Made,1,6,12,18,v,Lee 3' Layup (6 PTS) (Curry 1 AST),Made Shot,Layup Shot,0,2,51,0021201230
52,PT05M56.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,-64,190,20,Missed,1,0,0,0,h,MISS Aldridge 20' Jump Shot,Missed Shot,Jump Shot,0,2,52,0021201230
53,PT05M55.00S,1,1610612744,GSW,202691,Thompson,K. Thompson,0,0,0,,0,0,0,0,v,Thompson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,53,0021201230
54,PT05M43.00S,1,1610612744,GSW,101106,Bogut,A. Bogut,0,0,0,,0,0,0,0,v,Bogut OFF.Foul (P1),Foul,Offensive,0,0,54,0021201230
55,PT05M43.00S,1,1610612744,GSW,101106,Bogut,A. Bogut,0,0,0,,0,0,0,0,v,Bogut Foul Turnover (P1.T1),Turnover,Foul,0,0,55,0021201230
56,PT05M43.00S,1,0,,1610612757,,,0,0,0,,0,0,0,0,h,TRAIL BLAZERS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,56,0021201230
58,PT05M43.00S,1,1610612744,GSW,101106,Bogut,A. Bogut,0,0,0,,0,0,0,0,v,SUB: Ezeli FOR Bogut,Substitution,,0,0,57,0021201230
59,PT05M24.00S,1,1610612757,POR,203115,Barton,W. Barton,47,1,5,Missed,1,0,0,0,h,MISS Barton 5' Jump Shot,Missed Shot,Jump Shot,0,2,58,0021201230
60,PT05M22.00S,1,1610612744,GSW,202691,Thompson,K. Thompson,0,0,0,,0,0,0,0,v,Thompson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,59,0021201230
61,PT05M18.00S,1,1610612744,GSW,202691,Thompson,K. Thompson,-60,126,14,Missed,1,0,0,0,v,MISS Thompson 14' Jump Shot,Missed Shot,Jump Shot,0,2,60,0021201230
62,PT05M16.00S,1,1610612744,GSW,203105,Ezeli,F. Ezeli,3,12,1,Missed,1,0,0,0,v,MISS Ezeli 1' Dunk,Missed Shot,Dunk Shot,0,2,62,0021201230
63,PT05M16.00S,1,1610612744,GSW,203105,Ezeli,F. Ezeli,0,0,0,,0,0,0,0,v,Ezeli REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,61,0021201230
64,PT05M14.00S,1,1610612744,GSW,201939,Curry,S. Curry,0,0,0,,0,0,0,0,v,Curry REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,63,0021201230
65,PT05M13.00S,1,1610612744,GSW,101135,Lee,D. Lee,9,11,1,Made,1,6,14,20,v,Lee 1' Layup (8 PTS) (Curry 2 AST),Made Shot,Layup Shot,0,2,64,0021201230
66,PT04M49.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,-45,34,6,Missed,1,0,0,0,h,MISS Aldridge 6' Jump Shot,Missed Shot,Jump Shot,0,2,65,0021201230
67,PT04M47.00S,1,1610612744,GSW,101135,Lee,D. Lee,0,0,0,,0,0,0,0,v,Lee REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,66,0021201230
68,PT04M36.00S,1,1610612744,GSW,201939,Curry,S. Curry,206,165,26,Missed,1,0,0,0,v,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,67,0021201230
69,PT04M35.00S,1,1610612757,POR,201964,Claver,V. Claver,0,0,0,,0,0,0,0,h,Claver REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,68,0021201230
70,PT04M28.00S,1,1610612757,POR,203081,Lillard,D. Lillard,-141,167,22,Made,1,8,14,22,h,Lillard 22' Jump Shot (2 PTS),Made Shot,Jump Shot,0,2,69,0021201230
71,PT04M13.00S,1,1610612744,GSW,101135,Lee,D. Lee,81,124,15,Missed,1,0,0,0,v,MISS Lee 15' Jump Shot,Missed Shot,Jump Shot,0,2,70,0021201230
72,PT04M11.00S,1,1610612744,GSW,203105,Ezeli,F. Ezeli,0,0,0,,0,0,0,0,v,Ezeli REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,71,0021201230
