actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,gameId
1,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0, ,Start of 1st Period (10:41 PM EST),period,start,0,0,1,0021201228
2,PT12M00.00S,1,1610612747,LAL,2730,Howard,D. Howard,0,0,0,,0,0,0,0,h,Jump Ball Howard vs. Asik: Tip to Blake,Jump Ball,,0,0,2,0021201228
3,PT11M47.00S,1,1610612747,LAL,2730,Howard,D. Howard,0,26,3,Missed,1,0,0,0,h,MISS Howard 3' Layup,Missed Shot,Layup Shot,0,2,3,0021201228
3,PT11M47.00S,1,1610612745,HOU,202962,Smith,G. Smith,0,0,0,,0,0,0,0,v,Smith BLOCK (1 BLK),,,0,2,4,0021201228
4,PT11M44.00S,1,1610612747,LAL,2730,Howard,D. Howard,0,0,0,,0,0,0,0,h,Howard REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,5,0021201228
5,PT11M36.00S,1,1610612747,LAL,1897,World Peace,M. World Peace,-217,148,26,Made,1,3,0,3,h,World Peace 26' 3PT Jump Shot (3 PTS) (Gasol 1 AST),Made Shot,Jump Shot,0,3,6,0021201228
6,PT11M12.00S,1,1610612745,HOU,201935,Harden,J. Harden,84,241,26,Made,1,3,3,6,v,Harden 26' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,0,3,7,0021201228
7,PT10M47.00S,1,1610612747,LAL,2200,Gasol,P. Gasol,-78,-2,8,Missed,1,0,0,0,h,MISS Gasol 8' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,0,2,8,0021201228
8,PT10M45.00S,1,1610612745,HOU,202718,Parsons,C. Parsons,0,0,0,,0,0,0,0,v,Parsons REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,9,0021201228
9,PT10M28.00S,1,1610612747,LAL,201975,Meeks,J. Meeks,0,0,0,,0,0,0,0,h,Meeks S.FOUL (P1.T1),Foul,Shooting,0,0,10,0021201228
10,PT10M28.00S,1,1610612745,HOU,201935,Harden,J. Harden,0,0,0,,0,3,4,7,v,Harden Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,11,0021201228
12,PT10M28.00S,1,1610612745,HOU,201935,Harden,J. Harden,0,0,0,,0,3,5,8,v,Harden Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,12,0021201228
14,PT10M15.00S,1,1610612747,LAL,201975,Meeks,J. Meeks,-163,205,26,Missed,1,0,0,0,h,MISS Meeks 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,13,0021201228
