actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,gameId
0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0, ,Start of 1st Period (8:17 PM EST),period,start,0,0,1,0021201218
1,PT12M00.00S,1,1610612752,NYK,2853,Barron,E. Barron,0,0,0,,0,0,0,0,h,Jump Ball Barron vs. Scott: Tip to Jenkins,Jump Ball,,0,0,2,0021201218
2,PT11M41.00S,1,1610612737,ATL,201274,Johnson,I. Johnson,17,0,2,Made,1,0,2,2,v,Johnson 2' Driving Reverse Layup (2 PTS) (Jenkins 1 AST),Made Shot,Driving Reverse Layup Shot,0,2,3,0021201218
3,PT11M20.00S,1,1610612752,NYK,200778,White,J. White,64,235,24,Missed,1,0,0,0,h,MISS White 24' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,4,0021201218
4,PT11M17.00S,1,1610612737,ATL,2052,Stevenson,D. Stevenson,0,0,0,,0,0,0,0,v,Stevenson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,5,0021201218
5,PT11M10.00S,1,1610612737,ATL,202714,Mack,S. Mack,0,0,0,,0,0,0,0,v,Mack Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,6,0021201218
6,PT10M56.00S,1,1610612752,NYK,203142,Copeland,C. Copeland,138,97,17,Missed,1,0,0,0,h,MISS Copeland 17' Jump Shot,Missed Shot,Jump Shot,0,2,7,0021201218
7,PT10M54.00S,1,1610612752,NYK,203143,Prigioni,P. Prigioni,0,0,0,,0,0,0,0,h,Prigioni REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,10,0021201218
8,PT10M55.00S,1,1610612752,NYK,2853,Barron,E. Barron,0,0,0,,0,0,0,0,h,Barron REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,8,0021201218
9,PT10M42.00S,1,1610612752,NYK,2853,Barron,E. Barron,36,173,18,Made,1,2,2,4,h,Barron 18' Jump Shot (2 PTS) (Prigioni 1 AST),Made Shot,Jump Shot,0,2,11,0021201218
11,PT10M55.00S,1,1610612752,NYK,2853,Barron,E. Barron,-17,17,2,Missed,1,0,0,0,h,MISS Barron 2' Tip Shot,Missed Shot,Tip Shot,0,2,9,0021201218
12,PT10M22.00S,1,1610612737,ATL,2052,Stevenson,D. Stevenson,-95,201,22,Missed,1,0,0,0,v,MISS Stevenson 22' Jump Shot,Missed Shot,Jump Shot,0,2,12,0021201218
13,PT10M20.00S,1,1610612752,NYK,203143,Prigioni,P. Prigioni,0,0,0,,0,0,0,0,h,Prigioni REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,13,0021201218
14,PT10M09.00S,1,1610612752,NYK,203143,Prigioni,P. Prigioni,-150,194,25,Made,1,5,2,7,h,Prigioni 25' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,0,3,14,0021201218
16,PT09M42.00S,1,1610612737,ATL,2052,Stevenson,D. Stevenson,-179,184,26,Missed,1,0,0,0,v,MISS Stevenson 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,15,0021201218
17,PT09M40.00S,1,1610612752,NYK,203143,Prigioni,P. Prigioni,0,0,0,,0,0,0,0,h,Prigioni REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,16,0021201218
18,PT09M30.00S,1,1610612737,ATL,201274,Johnson,I. Johnson,0,0,0,,0,0,0,0,v,Johnson S.FOUL (P1.T1),Foul,Shooting,0,0,17,0021201218
19,PT09M30.00S,1,1610612752,NYK,2853,Barron,E. Barron,0,0,0,,0,6,2,8,h,Barron Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,18,0021201218
21,PT09M30.00S,1,1610612752,NYK,2853,Barron,E. Barron,0,0,0,,0,0,0,0,h,MISS Barron Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,19,0021201218
23,PT09M29.00S,1,1610612737,ATL,201274,Johnson,I. Johnson,0,0,0,,0,0,0,0,v,Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,20,0021201218
24,PT09M12.00S,1,1610612737,ATL,203098,Jenkins,J. Jenkins,-21,0,2,Made,1,6,4,10,v,Jenkins 2' Driving Layup (2 PTS) (Scott 1 AST),Made Shot,Driving Layup Shot,0,2,21,0021201218
25,PT08M58.00S,1,1610612752,NYK,2853,Barron,E. Barron,-166,3,17,Made,1,8,4,12,h,Barron 17' Jump Shot (5 PTS) (Prigioni 2 AST),Made Shot,Jump Shot,0,2,22,0021201218
26,PT08M53.00S,1,1610612737,ATL,202714,Mack,S. Mack,0,0,0,,0,0,0,0,v,Mack Bad Pass Turnover (P2.T2),Turnover,Bad Pass,0,0,23,0021201218
27,PT08M38.00S,1,1610612752,NYK,203142,Copeland,C. Copeland,37,184,19,Missed,1,0,0,0,h,MISS Copeland 19' Jump Shot,Missed Shot,Jump Shot,0,2,24,0021201218
28,PT08M37.00S,1,1610612737,ATL,201274,Johnson,I. Johnson,0,0,0,,0,0,0,0,v,Johnson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,25,0021201218
29,PT08M31.00S,1,1610612737,ATL,203118,Scott,M. Scott,-23,-5,2,Missed,1,0,0,0,v,MISS Scott 2' Layup,Missed Shot,Layup Shot,0,2,26,0021201218
30,PT08M29.00S,1,1610612737,ATL,203118,Scott,M. Scott,0,0,0,,0,0,0,0,v,Scott REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,27,0021201218
31,PT08M27.00S,1,1610612737,ATL,203118,Scott,M. Scott,13,17,2,Missed,1,0,0,0,v,MISS Scott 2' Layup,Missed Shot,Layup Shot,0,2,28,0021201218
31,PT08M27.00S,1,1610612752,NYK,203142,Copeland,C. Copeland,0,0,0,,0,0,0,0,h,Copeland BLOCK (1 BLK),,,0,2,29,0021201218
32,PT08M25.00S,1,1610612752,NYK,203143,Prigioni,P. Prigioni,0,0,0,,0,0,0,0,h,Prigioni REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,30,0021201218
33,PT08M21.00S,1,1610612752,NYK,203142,Copeland,C. Copeland,0,0,0,,0,0,0,0,h,Copeland OFF.Foul (P1),Foul,Offensive,0,0,31,0021201218
34,PT08M21.00S,1,1610612752,NYK,203142,Copeland,C. Copeland,0,0,0,,0,0,0,0,h,Copeland Foul Turnover (P1.T1),Turnover,Foul,0,0,32,0021201218
35,PT08M09.00S,1,1610612737,ATL,201274,Johnson,I. Johnson,0,0,0,,0,0,0,0,v,Johnson Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,33,0021201218
35,PT08M09.00S,1,1610612752,NYK,200778,White,J. White,0,0,0,,0,0,0,0,h,White STEAL (1 STL),,,0,0,34,0021201218
36,PT08M02.00S,1,1610612752,NYK,200778,White,J. White,0,0,0,,0,0,0,0,h,White Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,35,0021201218
37,PT07M48.00S,1,1610612737,ATL,202714,Mack,S. Mack,-24,44,5,Missed,1,0,0,0,v,MISS Mack 5' Floating Jump Shot,Missed Shot,Floating Jump shot,0,2,36,0021201218
38,PT07M46.00S,1,1610612752,NYK,203143,Prigioni,P. Prigioni,0,0,0,,0,0,0,0,h,Prigioni REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,37,0021201218
39,PT07M34.00S,1,1610612752,NYK,203143,Prigioni,P. Prigioni,-199,140,24,Made,1,11,4,15,h,Prigioni 24' 3PT Jump Shot (6 PTS),Made Shot,Jump Shot,0,3,38,0021201218
40,PT07M16.00S,1,1610612737,ATL,203118,Scott,M. Scott,-103,173,20,Made,1,11,6,17,v,Scott 20' Jump Shot (2 PTS),Made Shot,Jump Shot,0,2,39,0021201218
41,PT07M02.00S,1,1610612752,NYK,202697,Shumpert,I. Shumpert,152,12,15,Made,1,13,6,19,h,Shumpert 15' Jump Shot (2 PTS) (Prigioni 3 AST),Made Shot,Jump Shot,0,2,40,0021201218
42,PT06M48.00S,1,1610612737,ATL,2052,Stevenson,D. Stevenson,-112,230,26,Missed,1,0,0,0,v,MISS Stevenson 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,41,0021201218
43,PT06M46.00S,1,1610612737,ATL,201274,Johnson,I. Johnson,0,0,0,,0,0,0,0,v,Johnson REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,42,0021201218
44,PT06M41.00S,1,1610612737,ATL,203118,Scott,M. Scott,-5,53,5,Missed,1,0,0,0,v,MISS Scott 5' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,0,2,43,0021201218
45,PT06M40.00S,1,1610612752,NYK,2853,Barron,E. Barron,0,0,0,,0,0,0,0,h,Barron REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,44,0021201218
46,PT06M27.00S,1,1610612752,NYK,203142,Copeland,C. Copeland,-27,39,5,Missed,1,0,0,0,h,MISS Copeland 5' Hook Shot,Missed Shot,Hook Shot,0,2,45,0021201218
47,PT06M26.00S,1,1610612752,NYK,203142,Copeland,C. Copeland,0,0,0,,0,0,0,0,h,Copeland REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,46,0021201218
48,PT06M24.00S,1,1610612752,NYK,203142,Copeland,C. Copeland,-11,30,3,Made,1,15,6,21,h,Copeland 3' Hook Shot (2 PTS),Made Shot,Hook Shot,0,2,47,0021201218
