actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,gameId
0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0, ,Start of 1st Period (8:07 PM EST),period,start,0,0,1,0021201222
1,PT12M00.00S,1,1610612741,CHI,1737,Mohammed,N. Mohammed,0,0,0,,0,0,0,0,h,Jump Ball Mohammed vs. Seraphin: Tip to Boozer,Jump Ball,,0,0,3,0021201222
2,PT11M36.00S,1,1610612741,CHI,2550,Hinrich,K. Hinrich,-179,184,26,Missed,1,0,0,0,h,MISS Hinrich 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,4,0021201222
3,PT11M35.00S,1,1610612764,WAS,202338,Seraphin,K. Seraphin,0,0,0,,0,0,0,0,v,Seraphin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,5,0021201222
4,PT11M28.00S,1,1610612764,WAS,201858,Martin,C. Martin,0,0,0,,0,0,0,0,v,Martin Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,6,0021201222
5,PT11M11.00S,1,1610612741,CHI,1737,Mohammed,N. Mohammed,0,0,0,,0,0,0,0,h,Mohammed Offensive Charge Foul (P1.T1),Foul,Offensive Charge,0,0,7,0021201222
6,PT11M11.00S,1,1610612741,CHI,1737,Mohammed,N. Mohammed,0,0,0,,0,0,0,0,h,Mohammed Foul Turnover (P1.T1),Turnover,Foul,0,0,8,0021201222
7,PT10M54.00S,1,1610612764,WAS,202066,Temple,G. Temple,-81,246,26,Missed,1,0,0,0,v,MISS Temple 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,9,0021201222
8,PT10M53.00S,1,1610612741,CHI,2430,Boozer,C. Boozer,0,0,0,,0,0,0,0,h,Boozer REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,10,0021201222
9,PT10M42.00S,1,1610612741,CHI,2430,Boozer,C. Boozer,-89,67,11,Made,1,2,0,2,h,Boozer 11' Turnaround Fadeaway (2 PTS) (Butler 1 AST),Made Shot,Turnaround Fadeaway shot,0,2,11,0021201222
10,PT10M25.00S,1,1610612764,WAS,202066,Temple,G. Temple,0,0,0,,0,0,0,0,v,Temple Step Out of Bounds Turnover (P1.T2),Turnover,Step Out of Bounds Turnover,0,0,12,0021201222
