actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,gameId
0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0.0,0.0,0,,Start of 1st Period (8:11 PM EST),period,start,0,0,1,0021201224
1,PT12M00.00S,1,1610612742,DAL,2549,Kaman,C. Kaman,0,0,0,,0,,,0,h,Jump Ball Kaman vs. Lopez: Tip to Anderson,Jump Ball,,0,0,2,0021201224
3,PT11M39.00S,1,1610612740,NOH,202329,Aminu,A. Aminu,2,11,1,Missed,1,,,0,v,MISS Aminu 1' Running Layup,Missed Shot,Running Layup Shot,0,2,3,0021201224
4,PT11M38.00S,1,1610612740,NOH,201577,Lopez,R. Lopez,1,14,1,Made,1,0.0,2.0,2,v,Lopez 1' Putback Dunk (2 PTS),Made Shot,Putback Dunk Shot,0,2,5,0021201224
5,PT11M38.00S,1,1610612740,NOH,201577,Lopez,R. Lopez,0,0,0,,0,,,0,v,Lopez REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,4,0021201224
6,PT11M25.00S,1,1610612742,DAL,1890,Marion,S. Marion,-4,19,2,Missed,1,,,0,h,MISS Marion 2' Layup,Missed Shot,Layup Shot,0,2,6,0021201224
6,PT11M25.00S,1,1610612740,NOH,202329,Aminu,A. Aminu,0,0,0,,0,,,0,v,Aminu BLOCK (1 BLK),,,0,2,7,0021201224
7,PT11M23.00S,1,1610612740,NOH,202329,Aminu,A. Aminu,0,0,0,,0,,,0,v,Aminu REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,8,0021201224
8,PT11M08.00S,1,1610612742,DAL,201564,Mayo,O. Mayo,0,0,0,,0,,,0,h,Mayo P.FOUL (P1.T1),Foul,Personal,0,0,9,0021201224
9,PT10M57.00S,1,1610612740,NOH,201577,Lopez,R. Lopez,1,64,6,Missed,1,,,0,v,MISS Lopez 6' Hook Shot,Missed Shot,Hook Shot,0,2,10,0021201224
