actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,gameId
0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0, ,Start of 1st Period (8:12 PM EST),period,start,0,0,1,0021201216
1,PT12M00.00S,1,1610612761,TOR,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,0,0,0,h,Jump Ball Valanciunas vs. Wilcox: Tip to Johnson,Jump Ball,,0,0,2,0021201216
2,PT11M57.00S,1,0,,1610612761,,,0,0,0,,0,0,0,0,h,RAPTORS Turnover: Backcourt (T#1),Turnover,Backcourt Turnover,0,0,3,0021201216
3,PT11M47.00S,1,1610612761,TOR,200768,Lowry,K. Lowry,0,0,0,,0,0,0,0,h,Lowry S.FOUL (P1.T1),Foul,Shooting,0,0,4,0021201216
4,PT11M47.00S,1,1610612738,BOS,202340,Bradley,A. Bradley,0,0,0,,0,0,1,1,v,Bradley Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,5,0021201216
6,PT11M47.00S,1,1610612738,BOS,202340,Bradley,A. Bradley,0,0,0,,0,0,2,2,v,Bradley Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,6,0021201216
8,PT11M24.00S,1,1610612761,TOR,201942,DeRozan,D. DeRozan,-188,91,21,Made,1,2,2,4,h,DeRozan 21' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,0,2,7,0021201216
9,PT11M10.00S,1,1610612738,BOS,201145,Green,J. Green,0,0,0,,0,0,0,0,v,Green Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,8,0021201216
9,PT11M10.00S,1,1610612761,TOR,200768,Lowry,K. Lowry,0,0,0,,0,0,0,0,h,Lowry STEAL (1 STL),,,0,0,9,0021201216
10,PT11M06.00S,1,1610612761,TOR,200768,Lowry,K. Lowry,18,15,2,Missed,1,0,0,0,h,MISS Lowry 2' Layup,Missed Shot,Layup Shot,0,2,10,0021201216
11,PT11M04.00S,1,1610612738,BOS,202340,Bradley,A. Bradley,0,0,0,,0,0,0,0,v,Bradley REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,11,0021201216
12,PT10M56.00S,1,1610612738,BOS,1718,Pierce,P. Pierce,23,140,14,Made,1,2,4,6,v,Pierce 14' Jump Shot (2 PTS) (Bradley 1 AST),Made Shot,Jump Shot,0,2,12,0021201216
13,PT10M52.00S,1,1610612761,TOR,202685,Valančiūnas,J. Valančiūnas,6,1,1,Made,1,4,4,8,h,Valanciunas 1' Alley Oop Dunk (2 PTS) (Lowry 1 AST),Made Shot,Alley Oop Dunk Shot,0,2,13,0021201216
14,PT10M38.00S,1,1610612738,BOS,202340,Bradley,A. Bradley,75,134,15,Missed,1,0,0,0,v,MISS Bradley 15' Jump Shot,Missed Shot,Jump Shot,0,2,14,0021201216
15,PT10M37.00S,1,0,,1610612761,,,0,0,0,,0,0,0,0,h,RAPTORS Rebound,Rebound,Unknown,0,0,15,0021201216
16,PT10M22.00S,1,1610612761,TOR,101161,Johnson,A. Johnson,108,181,21,Made,1,6,4,10,h,Johnson 21' Jump Shot (2 PTS) (Gay 1 AST),Made Shot,Jump Shot,0,2,16,0021201216
17,PT10M06.00S,1,1610612738,BOS,201145,Green,J. Green,0,0,0,,0,0,0,0,v,Green Traveling Turnover (P2.T2),Turnover,Traveling,0,0,17,0021201216
18,PT09M55.00S,1,1610612761,TOR,201942,DeRozan,D. DeRozan,-38,187,19,Missed,1,0,0,0,h,MISS DeRozan 19' Jump Shot,Missed Shot,Jump Shot,0,2,18,0021201216
19,PT09M54.00S,1,1610612761,TOR,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,0,0,0,h,Valanciunas REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,19,0021201216
20,PT09M51.00S,1,1610612761,TOR,202685,Valančiūnas,J. Valančiūnas,13,12,2,Missed,1,0,0,0,h,MISS Valanciunas 2' Layup,Missed Shot,Layup Shot,0,2,20,0021201216
21,PT09M50.00S,1,1610612738,BOS,201145,Green,J. Green,0,0,0,,0,0,0,0,v,Green REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,21,0021201216
22,PT09M35.00S,1,1610612738,BOS,1718,Pierce,P. Pierce,91,236,25,Made,1,6,7,13,v,Pierce 25' 3PT Jump Shot (5 PTS) (Bradley 2 AST),Made Shot,Jump Shot,0,3,22,0021201216
24,PT09M14.00S,1,1610612761,TOR,200752,Gay,R. Gay,-158,203,26,Made,1,9,7,16,h,Gay 26' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,0,3,23,0021201216
25,PT08M50.00S,1,1610612738,BOS,201145,Green,J. Green,72,45,8,Made,1,9,9,18,v,Green 8' Running Jump Shot (2 PTS),Made Shot,Running Jump Shot,0,2,24,0021201216
26,PT08M38.00S,1,1610612761,TOR,200752,Gay,R. Gay,149,213,26,Missed,1,0,0,0,h,MISS Gay 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,25,0021201216
