actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,gameId
0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0.0,0.0,0,,Start of 1st Period (8:09 PM EST),period,start,0,0,1,0021201223
1,PT12M00.00S,1,1610612763,MEM,201188,Gasol,M. Gasol,0,0,0,,0,,,0,h,Jump Ball Gasol vs. Jefferson: Tip to Conley,Jump Ball,,0,0,2,0021201223
2,PT11M43.00S,1,1610612763,MEM,2216,Randolph,Z. Randolph,-122,61,14,Missed,1,,,0,h,MISS Randolph 14' Step Back Jump Shot,Missed Shot,Step Back Jump shot,0,2,3,0021201223
3,PT11M42.00S,1,1610612762,UTA,200751,Foye,R. Foye,0,0,0,,0,,,0,v,Foye REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,4,0021201223
4,PT11M21.00S,1,1610612762,UTA,2744,Jefferson,A. Jefferson,18,15,2,Missed,1,,,0,v,MISS Jefferson 2' Driving Layup,Missed Shot,Driving Layup Shot,0,2,5,0021201223
5,PT11M20.00S,1,1610612763,MEM,2419,Prince,T. Prince,0,0,0,,0,,,0,h,Prince REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,6,0021201223
6,PT11M09.00S,1,1610612763,MEM,201188,Gasol,M. Gasol,15,12,2,Missed,1,,,0,h,MISS Gasol 2' Layup,Missed Shot,Layup Shot,0,2,7,0021201223
7,PT11M08.00S,1,1610612763,MEM,201188,Gasol,M. Gasol,0,0,0,,0,,,0,h,Gasol REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,8,0021201223
8,PT11M03.00S,1,1610612763,MEM,201144,Conley,M. Conley,-130,225,26,Missed,1,,,0,h,MISS Conley 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,9,0021201223
9,PT11M02.00S,1,1610612762,UTA,200794,Millsap,P. Millsap,0,0,0,,0,,,0,v,Millsap REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,10,0021201223
10,PT10M50.00S,1,1610612762,UTA,2744,Jefferson,A. Jefferson,-56,118,13,Made,1,0.0,2.0,2,v,Jefferson 13' Jump Shot (2 PTS) (Mo. Williams 1 AST),Made Shot,Jump Shot,0,2,11,0021201223
11,PT10M27.00S,1,1610612763,MEM,2754,Allen,T. Allen,65,52,8,Missed,1,,,0,h,MISS Allen 8' Jump Shot,Missed Shot,Jump Shot,0,2,12,0021201223
12,PT10M25.00S,1,1610612763,MEM,2216,Randolph,Z. Randolph,4,7,1,Missed,1,,,0,h,MISS Randolph 1' Tip Shot,Missed Shot,Tip Shot,0,2,14,0021201223
13,PT10M25.00S,1,1610612763,MEM,2216,Randolph,Z. Randolph,0,0,0,,0,,,0,h,Randolph REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,13,0021201223
14,PT10M23.00S,1,1610612762,UTA,2744,Jefferson,A. Jefferson,0,0,0,,0,,,0,v,Jefferson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,15,0021201223
15,PT10M09.00S,1,1610612762,UTA,200751,Foye,R. Foye,209,0,21,Missed,1,,,0,v,MISS Foye 21' Jump Shot,Missed Shot,Jump Shot,0,2,16,0021201223
16,PT10M08.00S,1,1610612762,UTA,200794,Millsap,P. Millsap,0,0,0,,0,,,0,v,Millsap REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,17,0021201223
17,PT10M06.00S,1,1610612762,UTA,200794,Millsap,P. Millsap,2,0,0,Made,1,0.0,4.0,4,v,Millsap Layup (2 PTS),Made Shot,Layup Shot,0,2,18,0021201223
