actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,gameId
0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0, ,Start of 1st Period (8:11 PM EST),period,start,0,0,1,0021201226
1,PT12M00.00S,1,1610612760,OKC,201934,Thabeet,H. Thabeet,0,0,0,,0,0,0,0,h,Jump Ball Thabeet vs. Henson: Tip to Jennings,Jump Ball,,0,0,2,0021201226
2,PT11M40.00S,1,1610612749,MIL,201943,Jennings,B. Jennings,196,157,25,Missed,1,0,0,0,v,MISS Jennings 25' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,3,0021201226
3,PT11M38.00S,1,1610612749,MIL,203089,Henson,J. Henson,-2,17,2,Missed,1,0,0,0,v,MISS Henson 2' Putback Layup,Missed Shot,Putback Layup Shot,0,2,5,0021201226
4,PT11M38.00S,1,1610612749,MIL,203089,Henson,J. Henson,0,0,0,,0,0,0,0,v,Henson REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,4,0021201226
5,PT11M36.00S,1,1610612749,MIL,202327,Udoh,E. Udoh,0,0,0,,0,0,0,0,v,Udoh REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,6,0021201226
6,PT11M32.00S,1,1610612760,OKC,203103,Jones III,P. Jones III,0,0,0,,0,0,0,0,h,Jones P.FOUL (P1.T1),Foul,Personal,0,0,7,0021201226
7,PT11M23.00S,1,1610612749,MIL,203089,Henson,J. Henson,69,20,7,Missed,1,0,0,0,v,MISS Henson 7' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,0,2,8,0021201226
8,PT11M22.00S,1,1610612760,OKC,201934,Thabeet,H. Thabeet,0,0,0,,0,0,0,0,h,Thabeet REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,9,0021201226
9,PT10M59.00S,1,1610612760,OKC,201586,Ibaka,S. Ibaka,-13,47,5,Missed,1,0,0,0,h,MISS Ibaka 5' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,0,2,10,0021201226
10,PT10M58.00S,1,1610612760,OKC,201934,Thabeet,H. Thabeet,0,0,0,,0,0,0,0,h,Thabeet REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,11,0021201226
11,PT10M55.00S,1,1610612760,OKC,200757,Sefolosha,T. Sefolosha,-100,222,24,Made,1,3,0,3,h,Sefolosha 24' 3PT Jump Shot (3 PTS) (Thabeet 1 AST),Made Shot,Jump Shot,0,3,12,0021201226
12,PT10M40.00S,1,1610612749,MIL,101145,Ellis,M. Ellis,0,0,0,,0,0,0,0,v,Ellis Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,13,0021201226
12,PT10M40.00S,1,1610612760,OKC,200757,Sefolosha,T. Sefolosha,0,0,0,,0,0,0,0,h,Sefolosha STEAL (1 STL),,,0,0,14,0021201226
