actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,gameId
0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0.0,0.0,0,,Start of 1st Period (8:13 PM EST),period,start,0,0,1,0021201221
1,PT12M00.00S,1,1610612754,IND,101133,Mahinmi,I. Mahinmi,0,0,0,,0,,,0,h,Jump Ball Mahinmi vs. Hawes: Tip to Augustin,Jump Ball,,0,0,2,0021201221
2,PT11M45.00S,1,1610612754,IND,101133,Mahinmi,I. Mahinmi,0,0,0,,0,,,0,h,Mahinmi OFF.Foul (P1),Foul,Offensive,0,0,3,0021201221
3,PT11M45.00S,1,1610612754,IND,101133,Mahinmi,I. Mahinmi,0,0,0,,0,,,0,h,Mahinmi Foul Turnover (P1.T1),Turnover,Foul,0,0,4,0021201221
4,PT11M31.00S,1,1610612755,PHI,2863,Wilkins,D. Wilkins,157,88,18,Made,1,0.0,2.0,2,v,Wilkins 18' Jump Shot (2 PTS),Made Shot,Jump Shot,0,2,5,0021201221
5,PT11M14.00S,1,1610612754,IND,201571,Augustin,D. Augustin,-196,181,27,Missed,1,,,0,h,MISS Augustin 27' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,6,0021201221
6,PT11M13.00S,1,1610612755,PHI,202323,Turner,E. Turner,0,0,0,,0,,,0,v,Turner REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,7,0021201221
7,PT11M06.00S,1,1610612755,PHI,202323,Turner,E. Turner,94,132,16,Made,1,0.0,4.0,4,v,Turner 16' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,0,2,8,0021201221
8,PT10M55.00S,1,1610612754,IND,202362,Stephenson,L. Stephenson,94,157,18,Missed,1,,,0,h,MISS Stephenson 18' Jump Shot,Missed Shot,Jump Shot,0,2,9,0021201221
9,PT10M54.00S,1,1610612755,PHI,201152,Young,T. Young,0,0,0,,0,,,0,v,T. Young REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,10,0021201221
10,PT10M31.00S,1,1610612755,PHI,201950,Holiday,J. Holiday,17,-5,2,Made,1,0.0,6.0,6,v,Jr. Holiday 2' Layup (2 PTS),Made Shot,Layup Shot,0,2,11,0021201221
11,PT10M12.00S,1,1610612754,IND,201946,Hansbrough,T. Hansbrough,10,0,1,Missed,1,,,0,h,MISS T. Hansbrough 1' Layup,Missed Shot,Layup Shot,0,2,12,0021201221
11,PT10M12.00S,1,1610612755,PHI,201150,Hawes,S. Hawes,0,0,0,,0,,,0,v,Hawes BLOCK (1 BLK),,,0,2,13,0021201221
12,PT10M10.00S,1,1610612755,PHI,201950,Holiday,J. Holiday,0,0,0,,0,,,0,v,Jr. Holiday REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,14,0021201221
13,PT10M04.00S,1,1610612755,PHI,2863,Wilkins,D. Wilkins,189,189,27,Missed,1,,,0,v,MISS Wilkins 27' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,15,0021201221
14,PT10M03.00S,1,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Rebound,Rebound,Unknown,0,0,16,0021201221
15,PT09M57.00S,1,1610612755,PHI,201150,Hawes,S. Hawes,-8,272,27,Made,1,0.0,9.0,9,v,Hawes 27' 3PT Jump Shot (3 PTS) (Wilkins 1 AST),Made Shot,Jump Shot,0,3,17,0021201221
16,PT09M56.00S,1,0,,1610612754,,,0,0,0,,0,,,0,h,PACERS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,18,0021201221
18,PT09M42.00S,1,1610612754,IND,201946,Hansbrough,T. Hansbrough,-111,162,20,Missed,1,,,0,h,MISS T. Hansbrough 20' Jump Shot,Missed Shot,Jump Shot,0,2,19,0021201221
19,PT09M41.00S,1,1610612754,IND,101133,Mahinmi,I. Mahinmi,0,0,0,,0,,,0,h,Mahinmi REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,20,0021201221
20,PT09M41.00S,1,1610612755,PHI,201150,Hawes,S. Hawes,0,0,0,,0,,,0,v,Hawes S.FOUL (P1.T1),Foul,Shooting,0,0,21,0021201221
21,PT09M41.00S,1,1610612754,IND,101133,Mahinmi,I. Mahinmi,0,0,0,,0,,,0,h,MISS Mahinmi Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,22,0021201221
22,PT09M41.00S,1,0,,1610612754,,,0,0,0,,0,,,0,h,PACERS Rebound,Rebound,Normal Rebound,0,0,23,0021201221
23,PT09M41.00S,1,1610612754,IND,101133,Mahinmi,I. Mahinmi,0,0,0,,0,,,0,h,MISS Mahinmi Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,24,0021201221
25,PT09M41.00S,1,1610612755,PHI,2863,Wilkins,D. Wilkins,0,0,0,,0,,,0,v,Wilkins REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,25,0021201221
26,PT09M20.00S,1,1610612755,PHI,201152,Young,T. Young,56,93,11,Made,1,0.0,11.0,11,v,T. Young 11' Hook Shot (2 PTS),Made Shot,Hook Shot,0,2,26,0021201221
27,PT09M07.00S,1,1610612754,IND,101123,Green,G. Green,-49,257,26,Missed,1,,,0,h,MISS Green 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,27,0021201221
28,PT09M06.00S,1,1610612755,PHI,201152,Young,T. Young,0,0,0,,0,,,0,v,T. Young REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,28,0021201221
29,PT08M57.00S,1,1610612755,PHI,201150,Hawes,S. Hawes,13,268,27,Missed,1,,,0,v,MISS Hawes 27' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,29,0021201221
30,PT08M56.00S,1,1610612754,IND,202362,Stephenson,L. Stephenson,0,0,0,,0,,,0,h,Stephenson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,30,0021201221
31,PT08M50.00S,1,1610612754,IND,202362,Stephenson,L. Stephenson,15,0,2,Made,1,2.0,11.0,13,h,Stephenson 2' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,0,2,31,0021201221
32,PT08M24.00S,1,1610612755,PHI,201152,Young,T. Young,-15,153,15,Missed,1,,,0,v,MISS T. Young 15' Jump Shot,Missed Shot,Jump Shot,0,2,32,0021201221
33,PT08M22.00S,1,1610612754,IND,201946,Hansbrough,T. Hansbrough,0,0,0,,0,,,0,h,T. Hansbrough REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,33,0021201221
34,PT08M09.00S,1,1610612754,IND,101133,Mahinmi,I. Mahinmi,0,0,0,,0,,,0,h,Mahinmi Lost Ball Turnover (P2.T2),Turnover,Lost Ball,0,0,34,0021201221
34,PT08M09.00S,1,1610612755,PHI,201152,Young,T. Young,0,0,0,,0,,,0,v,T. Young STEAL (1 STL),,,0,0,35,0021201221
35,PT08M02.00S,1,1610612755,PHI,201152,Young,T. Young,0,-2,0,Made,1,2.0,13.0,15,v,T. Young Finger Roll Layup (4 PTS),Made Shot,Finger Roll Layup Shot,0,2,36,0021201221
36,PT07M52.00S,1,1610612754,IND,101123,Green,G. Green,-16,-5,2,Made,1,4.0,13.0,17,h,Green 2' Layup (2 PTS),Made Shot,Layup Shot,0,2,37,0021201221
37,PT07M52.00S,1,1610612755,PHI,202323,Turner,E. Turner,0,0,0,,0,,,0,v,Turner S.FOUL (P1.T2),Foul,Shooting,0,0,38,0021201221
38,PT07M52.00S,1,1610612754,IND,101123,Green,G. Green,0,0,0,,0,,,0,h,MISS Green Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,39,0021201221
40,PT07M51.00S,1,1610612754,IND,201946,Hansbrough,T. Hansbrough,0,0,0,,0,,,0,h,T. Hansbrough REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,40,0021201221
41,PT07M48.00S,1,1610612754,IND,201946,Hansbrough,T. Hansbrough,9,-6,1,Missed,1,,,0,h,MISS T. Hansbrough 1' Layup,Missed Shot,Layup Shot,0,2,41,0021201221
42,PT07M48.00S,1,0,,1610612754,,,0,0,0,,0,,,0,h,PACERS Rebound,Rebound,Unknown,0,0,42,0021201221
43,PT07M46.00S,1,1610612755,PHI,201150,Hawes,S. Hawes,0,0,0,,0,,,0,v,Hawes L.B.FOUL (P2.T3),Foul,Loose Ball,0,0,43,0021201221
44,PT07M46.00S,1,0,,43,Whitney,C. Whitney,0,0,0,,0,,,0,,Overturn Ruling,Instant Replay,Overturn Ruling,0,0,44,0021201221
45,PT07M46.00S,1,1610612755,PHI,201150,Hawes,S. Hawes,0,0,0,,0,,,0,v,SUB: Allen FOR Hawes,Substitution,,0,0,45,0021201221
46,PT07M43.00S,1,1610612754,IND,201571,Augustin,D. Augustin,0,0,0,,0,,,0,h,Augustin Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,46,0021201221
47,PT07M25.00S,1,1610612755,PHI,2863,Wilkins,D. Wilkins,1,-5,1,Made,1,4.0,15.0,19,v,Wilkins 1' Dunk (4 PTS),Made Shot,Dunk Shot,0,2,47,0021201221
48,PT07M12.00S,1,1610612754,IND,201571,Augustin,D. Augustin,100,168,20,Made,1,6.0,15.0,21,h,Augustin 20' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,0,2,48,0021201221
49,PT07M04.00S,1,1610612755,PHI,202323,Turner,E. Turner,108,151,19,Made,1,6.0,17.0,23,v,Turner 19' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,0,2,49,0021201221
50,PT06M46.00S,1,1610612755,PHI,201152,Young,T. Young,0,0,0,,0,,,0,v,T. Young P.FOUL (P1.T4),Foul,Personal,0,0,50,0021201221
51,PT06M46.00S,1,1610612754,IND,201946,Hansbrough,T. Hansbrough,0,0,0,,0,,,0,h,MISS T. Hansbrough Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,51,0021201221
52,PT06M46.00S,1,0,,1610612754,,,0,0,0,,0,,,0,h,PACERS Rebound,Rebound,Normal Rebound,0,0,52,0021201221
53,PT06M46.00S,1,1610612754,IND,201946,Hansbrough,T. Hansbrough,0,0,0,,0,,,0,h,MISS T. Hansbrough Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,53,0021201221
55,PT06M44.00S,1,1610612754,IND,101123,Green,G. Green,0,0,0,,0,,,0,h,Green REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,54,0021201221
56,PT06M38.00S,1,1610612754,IND,202362,Stephenson,L. Stephenson,70,255,26,Missed,1,,,0,h,MISS Stephenson 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,3,55,0021201221
57,PT06M36.00S,1,1610612755,PHI,202323,Turner,E. Turner,0,0,0,,0,,,0,v,Turner REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,56,0021201221
58,PT06M34.00S,1,1610612754,IND,202362,Stephenson,L. Stephenson,0,0,0,,0,,,0,h,Stephenson P.FOUL (P1.T1),Foul,Personal,0,0,57,0021201221
59,PT06M25.00S,1,1610612755,PHI,201152,Young,T. Young,0,0,0,,0,,,0,v,T. Young Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,58,0021201221
60,PT06M13.00S,1,1610612754,IND,101123,Green,G. Green,0,0,0,,0,,,0,h,Green Traveling Turnover (P1.T4),Turnover,Traveling,0,0,59,0021201221
61,PT05M57.00S,1,1610612754,IND,101133,Mahinmi,I. Mahinmi,0,0,0,,0,,,0,h,Mahinmi S.FOUL (P2.T2),Foul,Shooting,0,0,60,0021201221
62,PT05M57.00S,1,1610612755,PHI,202323,Turner,E. Turner,0,0,0,,0,6.0,18.0,24,v,Turner Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,61,0021201221
64,PT05M57.00S,1,1610612754,IND,101133,Mahinmi,I. Mahinmi,0,0,0,,0,,,0,h,SUB: Ayres FOR Mahinmi,Substitution,,0,0,62,0021201221
65,PT05M57.00S,1,1610612755,PHI,202323,Turner,E. Turner,0,0,0,,0,,,0,v,MISS Turner Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,63,0021201221
67,PT05M57.00S,1,1610612754,IND,201946,Hansbrough,T. Hansbrough,0,0,0,,0,,,0,h,T. Hansbrough REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,64,0021201221
68,PT05M41.00S,1,1610612754,IND,201946,Hansbrough,T. Hansbrough,-11,67,7,Missed,1,,,0,h,MISS T. Hansbrough 7' Jump Shot,Missed Shot,Jump Shot,0,2,65,0021201221
69,PT05M39.00S,1,1610612755,PHI,202730,Allen,L. Allen,0,0,0,,0,,,0,v,Allen REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,66,0021201221
70,PT05M35.00S,1,1610612755,PHI,2863,Wilkins,D. Wilkins,0,0,0,,0,,,0,v,Wilkins Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,67,0021201221
71,PT05M17.00S,1,1610612754,IND,201946,Hansbrough,T. Hansbrough,-19,-6,2,Made,1,8.0,18.0,26,h,T. Hansbrough 2' Layup (2 PTS),Made Shot,Layup Shot,0,2,68,0021201221
72,PT05M05.00S,1,1610612755,PHI,201950,Holiday,J. Holiday,48,257,26,Made,1,8.0,21.0,29,v,Jr. Holiday 26' 3PT Jump Shot (5 PTS),Made Shot,Jump Shot,0,3,69,0021201221
74,PT04M47.00S,1,1610612754,IND,201965,Ayres,J. Ayres,151,0,15,Made,1,10.0,21.0,31,h,Ayres 15' Jump Shot (2 PTS) (Stephenson 1 AST),Made Shot,Jump Shot,0,2,70,0021201221
76,PT04M36.00S,1,1610612755,PHI,2863,Wilkins,D. Wilkins,0,0,0,,0,,,0,v,Wilkins OFF.Foul (P1),Foul,Offensive,0,0,71,0021201221
77,PT04M36.00S,1,1610612755,PHI,2863,Wilkins,D. Wilkins,0,0,0,,0,,,0,v,Wilkins Foul Turnover (P2.T3),Turnover,Foul,0,0,72,0021201221
78,PT04M36.00S,1,1610612754,IND,202362,Stephenson,L. Stephenson,0,0,0,,0,,,0,h,SUB: Johnson FOR Stephenson,Substitution,,0,0,73,0021201221
79,PT04M36.00S,1,1610612754,IND,101123,Green,G. Green,0,0,0,,0,,,0,h,SUB: Young FOR Green,Substitution,,0,0,74,0021201221
80,PT04M36.00S,1,1610612755,PHI,202323,Turner,E. Turner,0,0,0,,0,,,0,v,SUB: Wright FOR Turner,Substitution,,0,0,75,0021201221
81,PT04M25.00S,1,1610612754,IND,201965,Ayres,J. Ayres,73,115,14,Made,1,12.0,21.0,33,h,Ayres 14' Jump Shot (4 PTS) (Augustin 1 AST),Made Shot,Jump Shot,0,2,76,0021201221
