game_id,game_date,season,team_id_home,team_abbreviation_home,minutes_home,possessions_home,team_id_road,team_abbreviation_road,minutes_road,possessions_road
0021700001,2017-10-17,2017-18,1610612739,CLE,240,101.0,1610612738,BOS,240,101.0
0021700002,2017-10-17,2017-18,1610612744,GSW,213,89.0,1610612745,HOU,213,88.0
0021700013,2017-10-18,2017-18,1610612758,SAC,231,98.0,1610612745,HOU,231,97.0
0021700012,2017-10-18,2017-18,1610612756,PHX,122,47.0,1610612757,POR,122,47.0
0021700010,2017-10-18,2017-18,1610612762,UTA,205,79.0,1610612743,DEN,205,80.0
0021700009,2017-10-18,2017-18,1610612742,DAL,240,102.0,1610612737,ATL,240,102.0
0021700008,2017-10-18,2017-18,1610612763,MEM,192,78.0,1610612740,NOP,192,78.0
0021700011,2017-10-18,2017-18,1610612759,SAS,232,90.0,1610612750,MIN,232,89.0
0021700006,2017-10-18,2017-18,1610612764,WAS,240,109.0,1610612755,PHI,240,108.0
0021700005,2017-10-18,2017-18,1610612753,ORL,205,90.0,1610612748,MIA,205,89.0
0021700004,2017-10-18,2017-18,1610612754,IND,221,104.0,1610612751,BKN,221,102.0
0021700003,2017-10-18,2017-18,1610612765,DET,161,66.0,1610612766,CHA,161,66.0
0021700007,2017-10-18,2017-18,1610612738,BOS,240,99.0,1610612749,MIL,240,99.0
0021700014,2017-10-19,2017-18,1610612761,TOR,123,52.0,1610612741,CHI,123,52.0
0021700015,2017-10-19,2017-18,1610612760,OKC,153,66.0,1610612752,NYK,153,66.0
0021700016,2017-10-19,2017-18,1610612747,LAL,146,65.0,1610612746,LAC,146,66.0
0021700023,2017-10-20,2017-18,1610612750,MIN,229,89.0,1610612762,UTA,229,90.0
0021700026,2017-10-20,2017-18,1610612756,PHX,216,108.0,1610612747,LAL,216,108.0
0021700025,2017-10-20,2017-18,1610612740,NOP,229,104.0,1610612744,GSW,229,104.0
0021700024,2017-10-20,2017-18,1610612742,DAL,240,88.0,1610612758,SAC,240,88.0
0021700022,2017-10-20,2017-18,1610612751,BKN,240,107.0,1610612753,ORL,240,108.0
0021700019,2017-10-20,2017-18,1610612755,PHI,233,97.0,1610612738,BOS,233,97.0
0021700020,2017-10-20,2017-18,1610612764,WAS,226,97.0,1610612765,DET,226,96.0
0021700018,2017-10-20,2017-18,1610612754,IND,172,70.0,1610612757,POR,172,71.0
0021700017,2017-10-20,2017-18,1610612766,CHA,190,82.0,1610612737,ATL,190,82.0
0021700021,2017-10-20,2017-18,1610612749,MIL,184,71.0,1610612739,CLE,184,72.0
0021700037,2017-10-21,2017-18,1610612746,LAC,138,57.0,1610612756,PHX,138,56.0
0021700027,2017-10-21,2017-18,1610612761,TOR,128,58.0,1610612755,PHI,128,57.0
0021700028,2017-10-21,2017-18,1610612739,CLE,163,65.0,1610612753,ORL,163,65.0
0021700029,2017-10-21,2017-18,1610612748,MIA,162,64.0,1610612754,IND,162,63.0
0021700030,2017-10-21,2017-18,1610612752,NYK,240,93.0,1610612765,DET,240,93.0
0021700031,2017-10-21,2017-18,1610612741,CHI,188,73.0,1610612759,SAS,188,74.0
0021700032,2017-10-21,2017-18,1610612745,HOU,121,49.0,1610612742,DAL,121,48.0
0021700033,2017-10-21,2017-18,1610612763,MEM,155,65.0,1610612744,GSW,155,65.0
0021700034,2017-10-21,2017-18,1610612749,MIL,240,99.0,1610612757,POR,240,99.0
0021700035,2017-10-21,2017-18,1610612743,DEN,166,61.0,1610612758,SAC,166,60.0
0021700036,2017-10-21,2017-18,1610612762,UTA,166,65.0,1610612760,OKC,166,65.0
0021700039,2017-10-22,2017-18,1610612760,OKC,233,97.0,1610612750,MIN,233,96.0
0021700040,2017-10-22,2017-18,1610612747,LAL,192,83.0,1610612740,NOP,192,84.0
0021700038,2017-10-22,2017-18,1610612751,BKN,214,94.0,1610612737,ATL,214,94.0
0021700041,2017-10-23,2017-18,1610612765,DET,214,84.0,1610612755,PHI,214,87.0
0021700042,2017-10-23,2017-18,1610612748,MIA,212,85.0,1610612737,ATL,212,83.0
0021700043,2017-10-23,2017-18,1610612745,HOU,240,95.0,1610612763,MEM,240,95.0
0021700044,2017-10-23,2017-18,1610612749,MIL,240,98.0,1610612766,CHA,240,97.0
0021700045,2017-10-23,2017-18,1610612742,DAL,180,77.0,1610612744,GSW,180,77.0
0021700046,2017-10-23,2017-18,1610612759,SAS,226,91.0,1610612761,TOR,226,91.0
0021700047,2017-10-23,2017-18,1610612743,DEN,240,100.0,1610612764,WAS,240,100.0
0021700048,2017-10-23,2017-18,1610612756,PHX,192,82.0,1610612758,SAC,192,82.0
0021700054,2017-10-24,2017-18,1610612746,LAC,164,64.0,1610612762,UTA,164,62.0
0021700053,2017-10-24,2017-18,1610612757,POR,234,103.0,1610612740,NOP,234,102.0
0021700052,2017-10-24,2017-18,1610612750,MIN,180,73.0,1610612754,IND,180,73.0
0021700049,2017-10-24,2017-18,1610612739,CLE,220,86.0,1610612741,CHI,220,86.0
0021700050,2017-10-24,2017-18,1610612753,ORL,240,106.0,1610612751,BKN,240,105.0
0021700051,2017-10-24,2017-18,1610612738,BOS,121,49.0,1610612752,NYK,121,49.0
0021700061,2017-10-25,2017-18,1610612742,DAL,208,82.0,1610612763,MEM,208,81.0
0021700064,2017-10-25,2017-18,1610612747,LAL,265,113.0,1610612764,WAS,265,113.0
0021700063,2017-10-25,2017-18,1610612744,GSW,240,102.0,1610612761,TOR,240,102.0
0021700062,2017-10-25,2017-18,1610612756,PHX,158,68.0,1610612762,UTA,158,67.0
0021700059,2017-10-25,2017-18,1610612748,MIA,180,66.0,1610612759,SAS,180,65.0
0021700058,2017-10-25,2017-18,1610612751,BKN,235,99.0,1610612739,CLE,235,99.0
0021700057,2017-10-25,2017-18,1610612755,PHI,231,91.0,1610612745,HOU,231,91.0
0021700056,2017-10-25,2017-18,1610612765,DET,123,50.0,1610612750,MIN,123,49.0
0021700055,2017-10-25,2017-18,1610612766,CHA,121,46.0,1610612743,DEN,121,46.0
0021700060,2017-10-25,2017-18,1610612760,OKC,169,71.0,1610612754,IND,169,71.0
0021700065,2017-10-26,2017-18,1610612741,CHI,240,91.0,1610612737,ATL,240,91.0
0021700066,2017-10-26,2017-18,1610612763,MEM,219,90.0,1610612742,DAL,219,89.0
0021700067,2017-10-26,2017-18,1610612749,MIL,222,90.0,1610612738,BOS,222,93.0
0021700068,2017-10-26,2017-18,1610612757,POR,240,91.0,1610612746,LAC,240,90.0
0021700069,2017-10-26,2017-18,1610612758,SAC,240,100.0,1610612740,NOP,240,100.0
0021700075,2017-10-27,2017-18,1610612744,GSW,198,85.0,1610612764,WAS,198,88.0
0021700070,2017-10-27,2017-18,1610612766,CHA,215,87.0,1610612745,HOU,215,88.0
0021700071,2017-10-27,2017-18,1610612753,ORL,121,50.0,1610612759,SAS,121,50.0
0021700072,2017-10-27,2017-18,1610612737,ATL,238,92.0,1610612743,DEN,238,94.0
0021700073,2017-10-27,2017-18,1610612752,NYK,150,56.0,1610612751,BKN,150,56.0
0021700074,2017-10-27,2017-18,1610612750,MIN,240,97.0,1610612760,OKC,240,97.0
0021700076,2017-10-27,2017-18,1610612747,LAL,224,94.0,1610612761,TOR,224,94.0
0021700082,2017-10-28,2017-18,1610612762,UTA,216,80.0,1610612747,LAL,216,80.0
0021700084,2017-10-28,2017-18,1610612746,LAC,236,94.0,1610612765,DET,236,96.0
0021700081,2017-10-28,2017-18,1610612742,DAL,238,93.0,1610612755,PHI,238,93.0
0021700083,2017-10-28,2017-18,1610612757,POR,240,105.0,1610612756,PHX,240,104.0
0021700079,2017-10-28,2017-18,1610612741,CHI,134,50.0,1610612760,OKC,134,50.0
0021700077,2017-10-28,2017-18,1610612740,NOP,192,77.0,1610612739,CLE,192,77.0
0021700080,2017-10-28,2017-18,1610612763,MEM,195,74.0,1610612745,HOU,195,74.0
0021700078,2017-10-28,2017-18,1610612748,MIA,235,89.0,1610612738,BOS,235,91.0
0021700090,2017-10-29,2017-18,1610612739,CLE,174,72.0,1610612752,NYK,174,72.0
0021700089,2017-10-29,2017-18,1610612758,SAC,121,50.0,1610612764,WAS,121,50.0
0021700088,2017-10-29,2017-18,1610612766,CHA,210,92.0,1610612753,ORL,210,90.0
0021700091,2017-10-29,2017-18,1610612744,GSW,234,90.0,1610612765,DET,234,92.0
0021700086,2017-10-29,2017-18,1610612754,IND,240,97.0,1610612759,SAS,240,98.0
0021700085,2017-10-29,2017-18,1610612737,ATL,129,52.0,1610612749,MIL,129,52.0
