game_id,game_date,season,team_id_home,team_abbreviation_home,team_name_home,pts_qtr1_home,pts_qtr2_home,pts_qtr3_home,pts_qtr4_home,pts_ot_total_home,pts_home,team_id_road,team_abbreviation_road,team_name_road,pts_qtr1_road,pts_qtr2_road,pts_qtr3_road,pts_qtr4_road,pts_ot_total_road,pts_road
0020100009,2001-10-30,2001-02,1610612762,UTA,Jazz,28,26,30,18,10,112,1610612749,MIL,Bucks,27,24,24,27,17,119
0020100003,2001-10-30,2001-02,1610612751,NJN,Nets,17,28,23,35,0,103,1610612754,IND,Pacers,31,22,26,18,0,97
0020100007,2001-10-30,2001-02,1610612745,HOU,Rockets,19,26,18,13,13,89,1610612737,ATL,Hawks,22,19,17,18,8,84
0020100012,2001-10-30,2001-02,1610612747,LAL,Lakers,29,26,24,19,0,98,1610612757,POR,Trail Blazers,20,26,22,19,0,87
0020100004,2001-10-30,2001-02,1610612753,ORL,Magic,31,24,31,28,0,114,1610612761,TOR,Raptors,22,25,15,23,0,85
0020100002,2001-10-30,2001-02,1610612752,NYK,Knicks,19,22,26,26,0,93,1610612764,WAS,Wizards,21,22,18,30,0,91
0020100008,2001-10-30,2001-02,1610612759,SAS,Spurs,28,20,32,29,0,109,1610612746,LAC,Clippers,25,19,26,28,0,98
0020100006,2001-10-30,2001-02,1610612742,DAL,Mavericks,17,23,29,25,0,94,1610612765,DET,Pistons,25,19,20,23,0,87
0020100011,2001-10-30,2001-02,1610612758,SAC,Kings,27,25,29,20,0,101,1610612760,SEA,SuperSonics,21,27,24,23,0,95
0020100005,2001-10-30,2001-02,1610612750,MIN,Timberwolves,17,29,18,19,0,83,1610612755,PHI,76ers,23,10,23,18,0,74
0020100001,2001-10-30,2001-02,1610612739,CLE,Cavaliers,19,26,14,30,0,89,1610612738,BOS,Celtics,33,32,27,16,0,108
0020100010,2001-10-30,2001-02,1610612756,PHX,Suns,16,20,27,33,0,96,1610612743,DEN,Nuggets,25,32,20,22,0,99
0020100016,2001-10-31,2001-02,1610612741,CHI,Bulls,29,15,20,9,0,73,1610612754,IND,Pacers,28,19,23,28,0,98
0020100015,2001-10-31,2001-02,1610612748,MIA,Heat,22,28,21,26,0,97,1610612761,TOR,Raptors,24,23,19,26,0,92
0020100013,2001-10-31,2001-02,1610612738,BOS,Celtics,17,22,26,27,0,92,1610612751,NJN,Nets,31,24,20,20,0,95
0020100017,2001-10-31,2001-02,1610612757,POR,Trail Blazers,19,29,27,17,0,92,1610612744,GSW,Warriors,22,24,24,17,0,87
