season,phase,game_id,stat_count,total_abs_delta,max_abs_delta
2008-09,regular,0020801102,1,1,1
2009-10,regular,0020900007,1,1,1
2009-10,regular,0020900179,1,1,1
2009-10,regular,0020900305,1,1,1
2009-10,regular,0020900386,1,1,1
2009-10,regular,0020900451,1,1,1
2009-10,regular,0020900701,1,1,1
2009-10,regular,0020900887,1,1,1
2009-10,regular,0020901163,1,1,1
2010-11,regular,0021000044,1,1,1
2010-11,regular,0021000227,1,1,1
2010-11,regular,0021000434,1,1,1
2010-11,regular,0021000676,1,1,1
2010-11,regular,0021000857,1,1,1
2010-11,regular,0021000930,1,1,1
2010-11,regular,0021001173,1,1,1
2010-11,regular,0021001210,1,1,1
2011-12,playoffs,0041100167,1,1,1
2011-12,regular,0021100089,1,1,1
2011-12,regular,0021100211,1,1,1
2011-12,regular,0021100495,1,1,1
2011-12,regular,0021100558,1,1,1
2011-12,regular,0021100601,1,1,1
2011-12,regular,0021100660,1,1,1
2011-12,regular,0021100664,1,1,1
2011-12,regular,0021100891,1,1,1
2011-12,regular,0021100911,1,1,1
2011-12,regular,0021100959,1,1,1
2011-12,regular,0021100987,1,1,1
2012-13,playoffs,0041200215,1,1,1
2012-13,regular,0021200086,1,1,1
2012-13,regular,0021200217,1,1,1
2012-13,regular,0021200251,1,1,1
2012-13,regular,0021200606,1,1,1
2012-13,regular,0021200861,1,1,1
2012-13,regular,0021200867,1,1,1
2012-13,regular,0021201053,1,1,1
2012-13,regular,0021201184,1,1,1
2013-14,regular,0021300031,1,1,1
2013-14,regular,0021300107,1,1,1
2013-14,regular,0021300215,1,1,1
2013-14,regular,0021300225,1,1,1
2013-14,regular,0021300251,1,1,1
2013-14,regular,0021300368,1,1,1
2013-14,regular,0021300414,1,1,1
2013-14,regular,0021300451,1,1,1
2013-14,regular,0021300493,1,1,1
2013-14,regular,0021300541,1,1,1
2013-14,regular,0021300564,1,1,1
2013-14,regular,0021300656,1,1,1
2013-14,regular,0021300759,1,1,1
2013-14,regular,0021301057,1,1,1
2013-14,regular,0021301230,1,1,1
2014-15,playoffs,0041400235,1,1,1
2014-15,regular,0021400072,1,1,1
2014-15,regular,0021400215,1,1,1
2014-15,regular,0021400615,1,1,1
2014-15,regular,0021400769,1,1,1
2014-15,regular,0021400814,1,1,1
2014-15,regular,0021400855,1,1,1
2014-15,regular,0021401181,1,1,1
2015-16,playoffs,0041500311,1,1,1
2015-16,regular,0021500391,1,1,1
2015-16,regular,0021500594,1,1,1
2015-16,regular,0021500627,1,1,1
2015-16,regular,0021500761,1,1,1
2015-16,regular,0021500765,1,1,1
2015-16,regular,0021500965,1,1,1
2015-16,regular,0021501180,1,1,1
2016-17,regular,0021600026,1,1,1
2016-17,regular,0021600158,1,1,1
2016-17,regular,0021600344,1,1,1
2016-17,regular,0021600478,1,1,1
2016-17,regular,0021600487,1,1,1
2016-17,regular,0021600528,1,1,1
2016-17,regular,0021600770,1,1,1
2016-17,regular,0021601215,1,1,1
