season,phase,game_id,home_team,road_team,stat,delta_home,delta_road,abs_sum,max_abs_side,classification,tov_max_t_home,tov_max_t_road,blk_sum_player_home,blk_sum_player_road
2003-04,playoffs,0040300121,DET,MIL,tov,-2,-1,3,2,tov_source_gap_pbp_self_consistent,13.0,25.0,,
2003-04,playoffs,0040300152,LAL,HOU,tov,-1,-2,3,2,tov_source_gap_pbp_self_consistent,9.0,12.0,,
2003-04,playoffs,0040300112,NJN,NYK,tov,-2,-1,3,2,tov_source_gap_pbp_self_consistent,25.0,19.0,,
2003-04,playoffs,0040300143,DEN,MIN,tov,-1,-2,3,2,tov_source_gap_pbp_self_consistent,12.0,16.0,,
2003-04,playoffs,0040300137,MIA,NOH,tov,-2,-1,3,2,tov_source_gap_pbp_self_consistent,8.0,21.0,,
2003-04,playoffs,0040300235,SAS,LAL,tov,-2,-1,3,2,tov_source_gap_pbp_self_consistent,18.0,15.0,,
2003-04,playoffs,0040300301,IND,DET,tov,-1,-2,3,2,tov_source_gap_pbp_self_consistent,11.0,19.0,,
2003-04,playoffs,0040300312,MIN,LAL,tov,-1,-2,3,2,tov_source_gap_pbp_self_consistent,9.0,13.0,,
2003-04,playoffs,0040300304,DET,IND,tov,-1,-2,3,2,tov_source_gap_pbp_self_consistent,13.0,13.0,,
2003-04,playoffs,0040300306,DET,IND,tov,-1,-2,3,2,tov_source_gap_pbp_self_consistent,13.0,15.0,,
2003-04,regular,0020300006,NOH,ATL,tov,1,2,3,2,tov_source_gap_pbp_self_consistent,12.0,27.0,,
2003-04,regular,0020300018,PHX,CLE,tov,1,2,3,2,tov_source_gap_pbp_self_consistent,13.0,22.0,,
2003-04,regular,0020300028,ORL,DET,tov,2,1,3,2,tov_source_gap_pbp_self_consistent,16.0,16.0,,
2003-04,regular,0020300034,HOU,MEM,tov,2,1,3,2,tov_source_gap_pbp_self_consistent,24.0,13.0,,
2003-04,regular,0020300039,GSW,PHI,tov,1,2,3,2,tov_source_gap_pbp_self_consistent,19.0,13.0,,
2003-04,regular,0020300040,LAL,GSW,tov,1,2,3,2,tov_source_gap_pbp_self_consistent,17.0,20.0,,
2003-04,regular,0020300048,IND,DEN,tov,2,1,3,2,tov_source_gap_pbp_self_consistent,18.0,23.0,,
2003-04,regular,0020300059,UTA,PHX,tov,2,1,3,2,tov_source_gap_pbp_self_consistent,10.0,10.0,,
2003-04,regular,0020300104,NJN,SAS,tov,1,2,3,2,tov_source_gap_pbp_self_consistent,9.0,13.0,,
2003-04,regular,0020300137,SAC,GSW,tov,2,1,3,2,tov_source_gap_pbp_self_consistent,15.0,13.0,,
2001-02,regular,0020101169,ATL,ORL,stl,-1,-2,3,2,unclassified,,,,
2000-01,playoffs,0040000023,PHX,SAC,tov,-2,0,2,2,tov_source_gap_pbp_self_consistent,17.0,22.0,,
2000-01,playoffs,0040000057,DAL,SAS,tov,0,-2,2,2,tov_source_gap_pbp_self_consistent,11.0,20.0,,
2000-01,playoffs,0040000058,DAL,SAS,tov,0,-2,2,2,tov_source_gap_pbp_self_consistent,7.0,14.0,,
2000-01,playoffs,0040000072,LAL,SAS,tov,-2,0,2,2,tov_source_gap_pbp_self_consistent,15.0,13.0,,
2002-03,playoffs,0040200102,DET,ORL,tov,2,0,2,2,tov_source_gap_pbp_self_consistent,18.0,15.0,,
2002-03,playoffs,0040200123,BOS,IND,tov,2,0,2,2,tov_source_gap_pbp_self_consistent,16.0,14.0,,
2002-03,playoffs,0040200103,ORL,DET,tov,0,2,2,2,tov_source_gap_pbp_self_consistent,15.0,18.0,,
2002-03,playoffs,0040200133,NOH,PHI,tov,2,0,2,2,tov_source_gap_pbp_self_consistent,12.0,16.0,,
2002-03,playoffs,0040200135,PHI,NOH,tov,2,0,2,2,tov_source_gap_pbp_self_consistent,16.0,10.0,,
2002-03,playoffs,0040200116,MIL,NJN,tov,0,2,2,2,tov_source_gap_pbp_self_consistent,16.0,14.0,,
2002-03,playoffs,0040200202,DET,PHI,tov,0,2,2,2,tov_source_gap_pbp_self_consistent,13.0,17.0,,
2002-03,playoffs,0040200403,NJN,SAS,tov,2,0,2,2,tov_source_gap_pbp_self_consistent,20.0,17.0,,
2002-03,playoffs,0040200405,NJN,SAS,tov,0,2,2,2,tov_source_gap_pbp_self_consistent,16.0,17.0,,
2003-04,playoffs,0040300151,LAL,HOU,tov,0,-2,2,2,tov_source_gap_pbp_self_consistent,15.0,22.0,,
2003-04,playoffs,0040300122,DET,MIL,tov,0,-2,2,2,tov_source_gap_pbp_self_consistent,13.0,20.0,,
2003-04,playoffs,0040300132,MIA,NOH,tov,0,-2,2,2,tov_source_gap_pbp_self_consistent,15.0,17.0,,
2003-04,playoffs,0040300133,NOH,MIA,tov,-2,0,2,2,tov_source_gap_pbp_self_consistent,11.0,17.0,,
2003-04,playoffs,0040300173,DAL,SAC,tov,-2,0,2,2,tov_source_gap_pbp_self_consistent,17.0,26.0,,
2003-04,playoffs,0040300175,SAC,DAL,tov,-2,0,2,2,tov_source_gap_pbp_self_consistent,15.0,16.0,,
2003-04,playoffs,0040300233,LAL,SAS,tov,0,-2,2,2,tov_source_gap_pbp_self_consistent,19.0,21.0,,
2003-04,playoffs,0040300234,LAL,SAS,tov,-2,0,2,2,tov_source_gap_pbp_self_consistent,8.0,13.0,,
2014-15,playoffs,0041400166,SAS,LAC,pf,-2,0,2,2,unclassified,,,,
2016-17,regular,0021600214,ORL,PHX,pf,0,-2,2,2,unclassified,,,,
2002-03,regular,0020200162,DEN,UTA,pf,0,-2,2,2,unclassified,,,,
2002-03,regular,0020200286,DEN,IND,pf,0,-2,2,2,unclassified,,,,
2009-10,regular,0020900216,SAS,GSW,fta,-2,0,2,2,ft_source_gap_small,,,,
2003-04,regular,0020300001,PHI,MIA,tov,2,0,2,2,tov_source_gap_pbp_self_consistent,10.0,19.0,,
2003-04,regular,0020300008,DET,IND,tov,0,2,2,2,tov_source_gap_pbp_self_consistent,15.0,21.0,,
2003-04,regular,0020300021,IND,MIL,tov,0,2,2,2,tov_source_gap_pbp_self_consistent,10.0,22.0,,
2003-04,regular,0020300031,MIN,TOR,tov,0,2,2,2,tov_source_gap_pbp_self_consistent,11.0,18.0,,
2003-04,regular,0020300053,WAS,DAL,tov,2,0,2,2,tov_source_gap_pbp_self_consistent,15.0,15.0,,
2003-04,regular,0020300064,SAS,LAL,tov,2,0,2,2,tov_source_gap_pbp_self_consistent,14.0,17.0,,
2003-04,regular,0020300118,IND,SEA,tov,0,2,2,2,tov_source_gap_pbp_self_consistent,10.0,16.0,,
2003-04,regular,0020300383,DET,UTA,stl,0,-2,2,2,unclassified,,,,
2008-09,regular,0020800010,OKC,MIL,pf,0,-2,2,2,unclassified,,,,
