game_id,game_date,season,team_id_home,team_abbreviation_home,team_name_home,pts_qtr1_home,pts_qtr2_home,pts_qtr3_home,pts_qtr4_home,pts_ot_total_home,pts_home,team_id_road,team_abbreviation_road,team_name_road,pts_qtr1_road,pts_qtr2_road,pts_qtr3_road,pts_qtr4_road,pts_ot_total_road,pts_road
0020900004,2009-10-27,2009-10,1610612747,LAL,Lakers,32,27,17,23,0,99,1610612746,LAC,Clippers,22,27,26,17,0,92
0020900002,2009-10-27,2009-10,1610612742,DAL,Mavericks,21,29,24,17,0,91,1610612764,WAS,Wizards,21,35,21,25,0,102
0020900003,2009-10-27,2009-10,1610612757,POR,Trail Blazers,23,31,21,21,0,96,1610612745,HOU,Rockets,23,18,15,31,0,87
0020900001,2009-10-27,2009-10,1610612739,CLE,Cavaliers,28,17,20,24,0,89,1610612738,BOS,Celtics,21,30,21,23,0,95
0020900009,2009-10-28,2009-10,1610612748,MIA,Heat,27,29,34,25,0,115,1610612752,NYK,Knicks,23,24,15,31,0,93
0020900006,2009-10-28,2009-10,1610612753,ORL,Magic,29,41,30,20,0,120,1610612755,PHI,76ers,27,20,22,37,0,106
0020900015,2009-10-28,2009-10,1610612744,GSW,Warriors,28,34,19,26,0,107,1610612745,HOU,Rockets,26,26,35,21,0,108
0020900013,2009-10-28,2009-10,1610612759,SAS,Spurs,19,38,31,25,0,113,1610612740,NOH,Hornets,13,26,29,28,0,96
0020900014,2009-10-28,2009-10,1610612743,DEN,Nuggets,23,31,28,32,0,114,1610612762,UTA,Jazz,30,25,25,25,0,105
0020900007,2009-10-28,2009-10,1610612761,TOR,Raptors,27,30,21,23,0,101,1610612739,CLE,Cavaliers,22,17,32,20,0,91
0020900008,2009-10-28,2009-10,1610612738,BOS,Celtics,22,20,25,25,0,92,1610612766,CHA,Bobcats,13,18,10,18,0,59
0020900012,2009-10-28,2009-10,1610612760,OKC,Thunder,39,29,21,13,0,102,1610612758,SAC,Kings,22,29,17,21,0,89
0020900011,2009-10-28,2009-10,1610612750,MIN,Timberwolves,21,22,21,31,0,95,1610612751,NJN,Nets,25,30,23,15,0,93
0020900010,2009-10-28,2009-10,1610612763,MEM,Grizzlies,20,21,16,17,0,74,1610612765,DET,Pistons,24,29,18,25,0,96
0020900016,2009-10-28,2009-10,1610612746,LAC,Clippers,31,22,26,28,0,107,1610612756,PHX,Suns,24,29,24,32,0,109
0020900005,2009-10-28,2009-10,1610612737,ATL,Hawks,29,37,29,25,0,120,1610612754,IND,Pacers,32,33,29,15,0,109
0020900018,2009-10-29,2009-10,1610612757,POR,Trail Blazers,17,26,24,27,0,94,1610612743,DEN,Nuggets,24,18,20,35,0,97
0020900017,2009-10-29,2009-10,1610612741,CHI,Bulls,22,25,27,18,0,92,1610612759,SAS,Spurs,23,23,18,21,0,85
0020900030,2009-10-30,2009-10,1610612756,PHX,Suns,28,34,30,31,0,123,1610612744,GSW,Warriors,24,27,22,28,0,101
0020900022,2009-10-30,2009-10,1610612738,BOS,Celtics,21,29,38,30,0,118,1610612741,CHI,Bulls,17,18,26,29,0,90
0020900020,2009-10-30,2009-10,1610612755,PHI,76ers,23,18,35,23,0,99,1610612749,MIL,Bucks,18,29,20,19,0,86
0020900027,2009-10-30,2009-10,1610612751,NJN,Nets,24,20,18,23,0,85,1610612753,ORL,Magic,29,21,25,20,0,95
0020900025,2009-10-30,2009-10,1610612763,MEM,Grizzlies,23,30,23,39,0,115,1610612761,TOR,Raptors,22,27,30,28,0,107
0020900026,2009-10-30,2009-10,1610612750,MIN,Timberwolves,18,29,21,19,0,87,1610612739,CLE,Cavaliers,25,32,26,21,0,104
0020900029,2009-10-30,2009-10,1610612762,UTA,Jazz,34,26,23,28,0,111,1610612746,LAC,Clippers,32,28,24,14,0,98
0020900028,2009-10-30,2009-10,1610612740,NOH,Hornets,25,25,22,25,0,97,1610612758,SAC,Kings,27,23,25,17,0,92
0020900021,2009-10-30,2009-10,1610612737,ATL,Hawks,29,29,17,25,0,100,1610612764,WAS,Wizards,24,20,22,23,0,89
0020900023,2009-10-30,2009-10,1610612765,DET,Pistons,24,21,16,22,0,83,1610612760,OKC,Thunder,16,22,24,29,0,91
0020900031,2009-10-30,2009-10,1610612747,LAL,Lakers,21,24,15,20,0,80,1610612742,DAL,Mavericks,24,28,26,16,0,94
0020900019,2009-10-30,2009-10,1610612766,CHA,Bobcats,32,19,18,13,20,102,1610612752,NYK,Knicks,13,24,18,27,18,100
0020900024,2009-10-30,2009-10,1610612754,IND,Pacers,16,31,16,20,0,83,1610612748,MIA,Heat,28,21,30,17,0,96
0020900034,2009-10-31,2009-10,1610612752,NYK,Knicks,25,26,30,41,5,127,1610612755,PHI,76ers,40,30,26,26,19,141
0020900033,2009-10-31,2009-10,1610612739,CLE,Cavaliers,25,20,21,24,0,90,1610612766,CHA,Bobcats,21,20,13,25,0,79
0020900032,2009-10-31,2009-10,1610612764,WAS,Wizards,28,34,37,24,0,123,1610612751,NJN,Nets,24,27,28,25,0,104
0020900036,2009-10-31,2009-10,1610612749,MIL,Bucks,20,18,36,22,0,96,1610612765,DET,Pistons,29,20,14,22,0,85
0020900035,2009-10-31,2009-10,1610612745,HOU,Rockets,33,26,24,28,0,111,1610612757,POR,Trail Blazers,28,26,25,28,0,107
0020900037,2009-10-31,2009-10,1610612759,SAS,Spurs,34,27,34,18,0,113,1610612758,SAC,Kings,27,18,30,19,0,94
0020900038,2009-10-31,2009-10,1610612746,LAC,Clippers,27,28,16,13,0,84,1610612742,DAL,Mavericks,23,32,25,13,0,93
0020900043,2009-11-01,2009-10,1610612743,DEN,Nuggets,35,32,36,30,0,133,1610612763,MEM,Grizzlies,40,26,28,29,0,123
0020900042,2009-11-01,2009-10,1610612760,OKC,Thunder,15,22,19,18,0,74,1610612757,POR,Trail Blazers,25,14,21,23,0,83
0020900040,2009-11-01,2009-10,1610612738,BOS,Celtics,22,25,25,25,0,97,1610612740,NOH,Hornets,20,18,31,18,0,87
0020900041,2009-11-01,2009-10,1610612748,MIA,Heat,24,25,20,26,0,95,1610612741,CHI,Bulls,27,21,22,17,0,87
0020900039,2009-11-01,2009-10,1610612761,TOR,Raptors,28,25,36,27,0,116,1610612753,ORL,Magic,36,28,35,26,0,125
0020900044,2009-11-01,2009-10,1610612756,PHX,Suns,35,32,29,24,0,120,1610612750,MIN,Timberwolves,34,27,24,27,0,112
0020900045,2009-11-01,2009-10,1610612747,LAL,Lakers,27,37,34,20,0,118,1610612737,ATL,Hawks,25,33,18,34,0,110
0020900047,2009-11-02,2009-10,1610612752,NYK,Knicks,31,27,19,40,0,117,1610612740,NOH,Hornets,24,28,29,30,0,111
0020900050,2009-11-02,2009-10,1610612746,LAC,Clippers,30,27,14,22,0,93,1610612750,MIN,Timberwolves,28,20,22,20,0,90
0020900048,2009-11-02,2009-10,1610612762,UTA,Jazz,28,29,19,20,0,96,1610612745,HOU,Rockets,26,28,25,34,0,113
0020900046,2009-11-02,2009-10,1610612766,CHA,Bobcats,10,23,20,26,0,79,1610612751,NJN,Nets,14,27,7,20,0,68
0020900049,2009-11-02,2009-10,1610612758,SAC,Kings,26,30,23,31,17,127,1610612763,MEM,Grizzlies,33,21,26,30,6,116
0020900057,2009-11-03,2009-10,1610612760,OKC,Thunder,25,26,22,17,8,98,1610612747,LAL,Lakers,32,20,19,19,11,101
0020900058,2009-11-03,2009-10,1610612742,DAL,Mavericks,17,18,17,44,0,96,1610612762,UTA,Jazz,20,17,30,18,0,85
0020900056,2009-11-03,2009-10,1610612741,CHI,Bulls,13,16,27,27,0,83,1610612749,MIL,Bucks,25,18,17,21,0,81
0020900054,2009-11-03,2009-10,1610612765,DET,Pistons,19,19,22,25,0,85,1610612753,ORL,Magic,14,27,19,20,0,80
0020900055,2009-11-03,2009-10,1610612748,MIA,Heat,26,26,29,15,0,96,1610612756,PHX,Suns,23,21,31,29,0,104
0020900051,2009-11-03,2009-10,1610612739,CLE,Cavaliers,17,33,28,24,0,102,1610612764,WAS,Wizards,31,23,19,17,0,90
0020900053,2009-11-03,2009-10,1610612755,PHI,76ers,17,19,18,20,0,74,1610612738,BOS,Celtics,19,25,25,36,0,105
0020900059,2009-11-03,2009-10,1610612757,POR,Trail Blazers,25,23,21,22,0,91,1610612737,ATL,Hawks,15,32,25,25,0,97
0020900052,2009-11-03,2009-10,1610612754,IND,Pacers,13,26,32,22,0,93,1610612743,DEN,Nuggets,30,25,28,28,0,111
0020900063,2009-11-04,2009-10,1610612751,NJN,Nets,23,28,26,17,0,94,1610612743,DEN,Nuggets,22,28,44,28,0,122
0020900069,2009-11-04,2009-10,1610612744,GSW,Warriors,19,38,33,23,0,113,1610612763,MEM,Grizzlies,29,27,24,25,0,105
0020900061,2009-11-04,2009-10,1610612761,TOR,Raptors,24,44,17,25,0,110,1610612765,DET,Pistons,28,28,21,22,0,99
0020900068,2009-11-04,2009-10,1610612758,SAC,Kings,24,31,32,18,0,105,1610612737,ATL,Hawks,26,30,27,30,0,113
0020900064,2009-11-04,2009-10,1610612752,NYK,Knicks,25,31,18,15,0,89,1610612754,IND,Pacers,21,29,23,28,0,101
0020900065,2009-11-04,2009-10,1610612750,MIN,Timberwolves,27,22,23,18,0,90,1610612738,BOS,Celtics,22,19,31,20,0,92
