game_id,game_date,season,game_type,neutral_site,team_id_home,team_abbreviation_home,team_name_home,team_id_road,team_abbreviation_road,team_name_road,pts_home,pts_road,wl_home,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,plus_minus_home,fgm_road,fga_road,fg_pct_road,fg3m_road,fg3a_road,fg3_pct_road,ftm_road,fta_road,ft_pct_road,oreb_road,dreb_road,reb_road,ast_road,stl_road,blk_road,tov_road,pf_road,plus_minus_road
0021900001,2019-10-22,2019-20,regular_season,False,1610612761,TOR,Toronto Raptors,1610612740,NOP,New Orleans Pelicans,13,5,W,4,8,0.5,2,5,0.4,3,3,1.0,0,5,5,3,0,0,0,3,8,2,9,0.222,1,4,0.25,0,0,0.0,2,4,6,1,0,1,2,3,-8
0021900006,2019-10-23,2019-20,regular_season,False,1610612751,BKN,Brooklyn Nets,1610612750,MIN,Minnesota Timberwolves,11,12,L,3,9,0.333,2,5,0.4,3,4,0.75,2,3,5,2,1,0,1,3,-1,5,10,0.5,0,3,0.0,2,2,1.0,2,2,4,1,1,0,1,3,1
0021900023,2019-10-25,2019-20,regular_season,False,1610612743,DEN,Denver Nuggets,1610612756,PHX,Phoenix Suns,13,12,W,3,7,0.429,2,2,1.0,5,6,0.833,1,2,3,2,1,1,1,4,1,3,5,0.6,0,0,0.0,6,6,1.0,0,3,3,2,0,0,2,5,-1
0021900026,2019-10-26,2019-20,regular_season,False,1610612749,MIL,Milwaukee Bucks,1610612748,MIA,Miami Heat,5,10,L,1,9,0.111,0,4,0.0,3,3,1.0,0,5,5,0,0,0,2,9,-5,1,6,0.167,0,3,0.0,8,14,0.571,0,6,6,0,0,1,1,2,5
0021900037,2019-10-27,2019-20,regular_season,False,1610612763,MEM,Memphis Grizzlies,1610612751,BKN,Brooklyn Nets,14,13,W,6,9,0.667,2,3,0.667,0,0,0.0,0,1,1,4,1,1,2,3,1,4,9,0.444,0,1,0.0,5,6,0.833,2,1,3,2,1,0,2,3,-1
0021900074,2019-11-01,2019-20,regular_season,False,1610612742,DAL,Dallas Mavericks,1610612747,LAL,Los Angeles Lakers,7,16,L,2,9,0.222,1,6,0.167,2,2,1.0,3,2,5,0,0,0,3,4,-9,5,6,0.833,1,1,1.0,5,7,0.714,0,4,4,2,1,0,2,2,9
0021900097,2019-11-05,2019-20,regular_season,False,1610612766,CHA,Charlotte Hornets,1610612754,IND,Indiana Pacers,9,7,W,2,8,0.25,0,2,0.0,5,8,0.625,3,2,5,0,0,1,1,4,2,3,7,0.429,0,3,0.0,1,2,0.5,0,4,4,0,0,1,0,6,-2
0021900120,2019-11-08,2019-20,regular_season,False,1610612750,MIN,Minnesota Timberwolves,1610612744,GSW,Golden State Warriors,15,9,W,5,11,0.455,2,3,0.667,3,4,0.75,2,3,5,1,2,1,1,2,6,3,9,0.333,2,8,0.25,1,2,0.5,3,2,5,1,1,1,4,3,-6
0021900138,2019-11-10,2019-20,regular_season,False,1610612757,POR,Portland Trail Blazers,1610612737,ATL,Atlanta Hawks,17,6,W,6,10,0.6,3,4,0.75,2,3,0.667,2,7,9,4,1,0,3,2,11,2,10,0.2,0,6,0.0,2,2,1.0,0,2,2,1,2,0,1,2,-11
0021900132,2019-11-10,2019-20,regular_season,False,1610612750,MIN,Minnesota Timberwolves,1610612743,DEN,Denver Nuggets,8,10,L,4,11,0.364,0,5,0.0,0,0,0.0,2,3,5,2,1,1,0,3,-2,4,10,0.4,2,3,0.667,0,1,0.0,2,4,6,2,0,0,2,1,2
0021900172,2019-11-15,2019-20,regular_season,False,1610612760,OKC,Oklahoma City Thunder,1610612755,PHI,Philadelphia 76ers,20,12,W,5,7,0.714,2,2,1.0,8,8,1.0,1,5,6,2,0,1,0,0,8,5,11,0.455,2,4,0.5,0,0,0.0,1,1,2,3,0,0,0,6,-8
0021900212,2019-11-20,2019-20,regular_season,False,1610612746,LAC,LA Clippers,1610612738,BOS,Boston Celtics,10,7,W,3,8,0.375,3,7,0.429,1,1,1.0,2,3,5,3,2,1,3,3,3,3,10,0.3,0,5,0.0,1,1,1.0,1,3,4,3,2,0,2,2,-3
0021900272,2019-11-29,2019-20,regular_season,False,1610612754,IND,Indiana Pacers,1610612737,ATL,Atlanta Hawks,11,10,W,3,6,0.5,2,3,0.667,3,4,0.75,1,4,5,2,1,0,4,1,1,4,8,0.5,2,5,0.4,0,0,0.0,0,2,2,2,2,0,2,3,-1
0021900280,2019-11-30,2019-20,regular_season,False,1610612758,SAC,Sacramento Kings,1610612743,DEN,Denver Nuggets,10,7,W,3,7,0.429,0,2,0.0,4,4,1.0,0,1,1,0,1,0,0,2,3,2,6,0.333,1,3,0.333,2,2,1.0,0,4,4,2,0,0,2,4,-3
0021900301,2019-12-03,2019-20,regular_season,False,1610612761,TOR,Toronto Raptors,1610612748,MIA,Miami Heat,2,13,L,0,9,0.0,0,8,0.0,2,2,1.0,1,4,5,0,0,0,2,2,-11,5,11,0.455,2,5,0.4,1,1,1.0,2,8,10,3,1,0,3,4,11
0021900303,2019-12-03,2019-20,regular_season,False,1610612759,SAS,San Antonio Spurs,1610612745,HOU,Houston Rockets,20,18,W,7,18,0.389,2,6,0.333,4,6,0.667,1,6,7,5,1,1,2,7,2,4,17,0.235,0,4,0.0,10,11,0.909,5,10,15,2,1,3,6,8,-2
0021900319,2019-12-05,2019-20,regular_season,False,1610612740,NOP,New Orleans Pelicans,1610612756,PHX,Phoenix Suns,7,14,L,2,9,0.222,1,5,0.2,2,5,0.4,2,4,6,1,0,3,2,4,-7,4,9,0.444,0,1,0.0,6,6,1.0,1,6,7,2,2,2,0,4,7
0021900328,2019-12-06,2019-20,regular_season,False,1610612759,SAS,San Antonio Spurs,1610612758,SAC,Sacramento Kings,5,4,W,1,3,0.333,0,0,0.0,3,6,0.5,0,5,5,1,0,0,3,2,1,2,12,0.167,0,5,0.0,0,0,0.0,3,3,6,1,1,0,0,3,-1
0021900326,2019-12-06,2019-20,regular_season,False,1610612760,OKC,Oklahoma City Thunder,1610612750,MIN,Minnesota Timberwolves,17,5,W,4,7,0.571,1,2,0.5,8,8,1.0,1,6,7,0,1,2,0,1,12,2,7,0.286,0,3,0.0,1,2,0.5,0,2,2,1,0,0,2,5,-12
0021900337,2019-12-08,2019-20,regular_season,False,1610612748,MIA,Miami Heat,1610612741,CHI,Chicago Bulls,13,8,W,4,10,0.4,3,5,0.6,2,4,0.5,2,4,6,4,0,0,0,2,5,3,9,0.333,1,5,0.2,1,1,1.0,1,3,4,2,0,0,0,4,-5
0021900354,2019-12-10,2019-20,regular_season,False,1610612748,MIA,Miami Heat,1610612737,ATL,Atlanta Hawks,18,4,W,7,10,0.7,2,5,0.4,2,3,0.667,1,6,7,6,1,0,0,3,14,2,9,0.222,0,3,0.0,0,2,0.0,1,1,2,0,0,0,1,3,-14
0021900366,2019-12-11,2019-20,regular_season,False,1610612744,GSW,Golden State Warriors,1610612752,NYK,New York Knicks,10,12,L,4,12,0.333,2,5,0.4,0,0,0.0,2,4,6,1,1,2,1,4,-2,4,11,0.364,1,2,0.5,3,4,0.75,3,6,9,2,1,1,1,1,2
0021900368,2019-12-12,2019-20,regular_season,False,1610612759,SAS,San Antonio Spurs,1610612739,CLE,Cleveland Cavaliers,6,14,L,3,10,0.3,0,2,0.0,0,0,0.0,2,1,3,1,1,0,0,3,-8,4,7,0.571,2,3,0.667,5,5,1.0,1,5,6,1,0,0,1,0,8
0021900380,2019-12-14,2019-20,regular_season,False,1610612756,PHX,Phoenix Suns,1610612759,SAS,San Antonio Spurs,10,12,L,4,8,0.5,1,3,0.333,1,1,1.0,0,4,4,2,1,0,2,2,-2,5,10,0.5,1,2,0.5,1,3,0.333,1,4,5,1,1,1,2,3,2
0021900384,2019-12-14,2019-20,regular_season,False,1610612742,DAL,Dallas Mavericks,1610612748,MIA,Miami Heat,6,10,L,2,8,0.25,1,3,0.333,1,2,0.5,0,4,4,1,1,0,1,6,-4,3,8,0.375,1,4,0.25,3,6,0.5,1,6,7,2,1,1,1,3,4
