Season,Team,Games,Net_Rating,EFG,BH,OREB,FT_Rate,Opp_EFG,Opp_BH,Opp_OREB,Opp_FT_Rate
2015-16,ATL,92,3.649322,0.51536,0.862243,0.188714,0.188783,0.482386,0.857797,0.251728,0.193822
2015-16,BKN,82,-7.699001,0.492681,0.863193,0.237733,0.188178,0.536246,0.868813,0.238527,0.178381
2015-16,BOS,88,2.236341,0.485382,0.87834,0.246679,0.208542,0.488188,0.855251,0.247165,0.231677
2015-16,CHA,89,2.070593,0.496801,0.88488,0.195014,0.227436,0.499191,0.875874,0.203873,0.194475
2015-16,CHI,82,-1.69601,0.489138,0.874902,0.243814,0.19051,0.486951,0.893028,0.249687,0.184026
2015-16,CLE,103,6.494134,0.529989,0.874866,0.254558,0.196137,0.500334,0.873752,0.213065,0.203378
2015-16,DAL,87,-0.422296,0.501726,0.880958,0.206061,0.214417,0.506376,0.872499,0.241207,0.205317
2015-16,DEN,82,-3.690857,0.489566,0.86724,0.256845,0.219807,0.516063,0.874109,0.226417,0.218675
2015-16,DET,86,-0.572141,0.49533,0.878571,0.262088,0.200109,0.507506,0.876625,0.206538,0.194586
2015-16,GSW,106,10.498521,0.556194,0.866973,0.234855,0.194726,0.479628,0.873007,0.246074,0.21457
2015-16,HOU,87,-1.388544,0.511831,0.856709,0.256778,0.245288,0.519209,0.85381,0.267283,0.219964
2015-16,IND,89,2.34975,0.497946,0.864237,0.23184,0.212043,0.486093,0.858627,0.244407,0.210891
2015-16,LAC,88,5.188612,0.521837,0.880745,0.202419,0.223887,0.481146,0.862845,0.262383,0.224217
2015-16,LAL,82,-10.860959,0.461467,0.874626,0.228792,0.229638,0.523893,0.884069,0.250858,0.205105
2015-16,MEM,86,-3.748289,0.476599,0.875632,0.247954,0.230838,0.520055,0.848494,0.247928,0.254801
2015-16,MIA,96,2.883333,0.508203,0.867644,0.231596,0.211026,0.482526,0.880946,0.215835,0.205039
2015-16,MIL,82,-3.755993,0.500222,0.858322,0.246066,0.209257,0.512595,0.858368,0.266153,0.224829
2015-16,MIN,82,-2.894131,0.499061,0.861249,0.241996,0.265972,0.524946,0.864523,0.251967,0.203266
2015-16,NOP,82,-4.009686,0.498829,0.877224,0.210862,0.205071,0.52424,0.873201,0.209188,0.227081
2015-16,NYK,82,-2.864233,0.484576,0.874582,0.235466,0.206201,0.488484,0.894772,0.238422,0.206218
2015-16,OKC,100,6.568407,0.521001,0.86254,0.30734,0.235273,0.487288,0.883143,0.234605,0.204777
2015-16,ORL,82,-2.035005,0.501514,0.871507,0.227304,0.177804,0.515154,0.861383,0.231397,0.217096
2015-16,PHI,82,-10.0964,0.488215,0.851579,0.205917,0.188767,0.510961,0.865279,0.257295,0.243464
2015-16,PHX,82,-7.702508,0.488128,0.847831,0.253416,0.2065,0.524762,0.865023,0.228761,0.241939
2015-16,POR,93,-0.076385,0.509062,0.869652,0.256932,0.20532,0.505079,0.881602,0.234889,0.227869
2015-16,SAC,82,-2.943829,0.511602,0.857948,0.236067,0.217866,0.522397,0.860003,0.249649,0.204549
2015-16,SAS,92,11.485686,0.526363,0.877062,0.226178,0.200016,0.476917,0.859144,0.215084,0.1874
2015-16,TOR,102,2.301355,0.497372,0.876743,0.243912,0.252141,0.501844,0.871406,0.224295,0.210932
2015-16,UTA,82,1.613438,0.502941,0.85832,0.25547,0.215881,0.495632,0.865399,0.222945,0.213176
2015-16,WAS,82,-0.549474,0.512113,0.869346,0.204787,0.194879,0.516373,0.85338,0.220911,0.221196
2016-17,ATL,88,-1.061842,0.504436,0.857756,0.23719,0.220511,0.507611,0.863308,0.236036,0.183411
2016-17,BKN,82,-6.193272,0.508731,0.852883,0.192423,0.231001,0.514947,0.884247,0.234352,0.214434
2016-17,BOS,100,2.066705,0.526873,0.877485,0.211594,0.215824,0.509251,0.87357,0.251077,0.226261
2016-17,CHA,82,0.369717,0.502153,0.893171,0.197042,0.229393,0.525617,0.878303,0.201915,0.165072
2016-17,CHI,88,-0.438585,0.487773,0.875941,0.270004,0.208421,0.510209,0.876821,0.230105,0.170108
2016-17,CLE,100,4.144842,0.553684,0.875182,0.22088,0.214029,0.517784,0.88504,0.241046,0.17835
2016-17,DAL,82,-2.529312,0.505564,0.884335,0.179111,0.182431,0.530581,0.855898,0.22159,0.220432
2016-17,DEN,82,-0.550739,0.531712,0.868199,0.269789,0.217549,0.533129,0.891202,0.211952,0.195567
2016-17,DET,82,-2.237769,0.492244,0.890838,0.24047,0.158591,0.518579,0.879274,0.186356,0.198993
2016-17,GSW,99,12.393786,0.565585,0.86959,0.225085,0.211648,0.486608,0.867315,0.247435,0.202851
2016-17,HOU,93,4.586918,0.542004,0.86825,0.241339,0.236561,0.519747,0.870528,0.24481,0.196042
2016-17,IND,86,-0.24265,0.517925,0.87283,0.214066,0.213784,0.514742,0.864653,0.245182,0.229562
2016-17,LAC,89,4.033646,0.537288,0.879328,0.211839,0.235935,0.508864,0.878496,0.225859,0.214183
2016-17,LAL,82,-7.135437,0.501558,0.865336,0.24775,0.196549,0.54289,0.869829,0.23949,0.215653
2016-17,MEM,88,-0.411892,0.49423,0.879873,0.241957,0.223166,0.510132,0.865541,0.227236,0.261457
2016-17,MIA,82,0.965415,0.513534,0.876656,0.239829,0.17958,0.497559,0.874204,0.234615,0.221553
2016-17,MIL,88,0.44045,0.527862,0.868119,0.211483,0.211705,0.51867,0.863276,0.239805,0.222737
2016-17,MIN,82,-1.035074,0.51157,0.871555,0.27132,0.231627,0.536049,0.86775,0.238301,0.213505
2016-17,NOP,82,-1.768153,0.504827,0.8827,0.183368,0.194589,0.509754,0.875769,0.232052,0.1789
2016-17,NYK,82,-4.012714,0.496895,0.875367,0.263018,0.190686,0.512655,0.883503,0.256718,0.216034
2016-17,OKC,87,-0.428978,0.500118,0.869328,0.277896,0.222058,0.513215,0.874565,0.209839,0.226723
2016-17,ORL,82,-6.936242,0.489214,0.878745,0.213913,0.184725,0.523879,0.880638,0.225061,0.204107
2016-17,PHI,82,-5.788709,0.502762,0.85069,0.221967,0.20184,0.51434,0.865568,0.245908,0.236608
2016-17,PHX,82,-5.259704,0.495044,0.866443,0.259806,0.233862,0.526743,0.868998,0.235465,0.26719
2016-17,POR,86,-0.889878,0.518219,0.875236,0.227724,0.216756,0.51243,0.884685,0.22748,0.24497
2016-17,SAC,82,-4.685594,0.517257,0.86339,0.208799,0.222941,0.529069,0.870783,0.234816,0.230385
2016-17,SAS,98,6.851845,0.523848,0.875858,0.245535,0.214634,0.499807,0.866488,0.220696,0.198231
2016-17,TOR,92,3.73057,0.515325,0.881391,0.239504,0.235799,0.511877,0.865112,0.229852,0.224901
2016-17,UTA,93,3.540141,0.527008,0.869202,0.221743,0.218216,0.499207,0.883112,0.205772,0.199671
2016-17,WAS,95,1.305279,0.526225,0.872837,0.241949,0.204015,0.525318,0.863027,0.241128,0.21927
2017-18,ATL,82,-5.657564,0.51352,0.858521,0.208711,0.187188,0.537504,0.864041,0.236413,0.185265
2017-18,BKN,82,-4.170901,0.515608,0.864056,0.209026,0.202207,0.517929,0.889929,0.226704,0.202687
2017-18,BOS,101,3.047975,0.515365,0.874069,0.209801,0.19452,0.500559,0.870016,0.211099,0.195417
2017-18,CHA,82,-0.03631,0.508466,0.886095,0.221377,0.235738,0.533624,0.875638,0.190382,0.167246
2017-18,CHI,82,-7.868174,0.498293,0.874131,0.203364,0.165857,0.543102,0.875871,0.193142,0.185725
2017-18,CLE,104,0.42587,0.540725,0.875018,0.204744,0.21558,0.537895,0.879295,0.221368,0.173433
2017-18,DAL,82,-3.163061,0.514857,0.884662,0.178208,0.166937,0.533242,0.871494,0.208149,0.195032
2017-18,DEN,82,0.905961,0.536668,0.865933,0.254235,0.199089,0.53902,0.874318,0.223432,0.174825
2017-18,DET,82,-0.059697,0.512311,0.877166,0.2249,0.171463,0.525437,0.863129,0.214334,0.174897
2017-18,GSW,103,8.660334,0.565079,0.86363,0.208382,0.196242,0.499644,0.874928,0.232229,0.187343
2017-18,HOU,99,7.089812,0.545009,0.875656,0.209718,0.230859,0.523886,0.8666,0.1976,0.176485
2017-18,IND,89,1.856632,0.526939,0.876582,0.224863,0.174901,0.526246,0.857695,0.23464,0.180673
2017-18,LAC,82,-0.041563,0.528919,0.868012,0.232948,0.224806,0.521322,0.874197,0.239111,0.205093
2017-18,LAL,82,-1.456176,0.517802,0.861837,0.232409,0.18984,0.516074,0.874891,0.222326,0.192626
2017-18,MEM,82,-6.574852,0.500198,0.860059,0.221656,0.203155,0.53035,0.8618,0.231744,0.259087
2017-18,MIA,87,0.061699,0.520754,0.866428,0.210565,0.178058,0.507847,0.869161,0.214509,0.220272
2017-18,MIL,89,0.809332,0.534159,0.870802,0.198447,0.219934,0.527225,0.859345,0.236557,0.222769
2017-18,MIN,87,1.752039,0.523761,0.885421,0.239256,0.226825,0.540109,0.864797,0.23321,0.191412
2017-18,NOP,91,1.845299,0.541681,0.867422,0.196806,0.183832,0.514944,0.875558,0.228938,0.176002
2017-18,NYK,82,-4.254529,0.511797,0.866855,0.240535,0.173528,0.52268,0.87866,0.229091,0.210597
2017-18,OKC,88,2.32525,0.512959,0.875833,0.270324,0.199498,0.52534,0.854096,0.226512,0.197309
2017-18,ORL,82,-4.994321,0.51326,0.867234,0.198761,0.18234,0.525583,0.872035,0.24263,0.188347
2017-18,PHI,92,5.03454,0.531474,0.856311,0.254357,0.207099,0.496564,0.873259,0.209369,0.22288
2017-18,PHX,82,-9.595845,0.497275,0.861237,0.221914,0.206777,0.534105,0.881627,0.234407,0.214714
2017-18,POR,86,1.350345,0.51294,0.876105,0.230651,0.192989,0.508087,0.882395,0.20669,0.196148
2017-18,SAC,82,-7.870407,0.503314,0.871773,0.21427,0.143543,0.542962,0.865655,0.221403,0.201791
2017-18,SAS,87,2.361833,0.505287,0.879078,0.232589,0.19353,0.509601,0.868234,0.21491,0.17422
2017-18,TOR,92,6.570599,0.54013,0.877866,0.228486,0.204618,0.506418,0.872971,0.219193,0.215465
2017-18,UTA,93,3.867867,0.526876,0.861811,0.214303,0.203345,0.508222,0.863234,0.200717,0.193745
2017-18,WAS,88,0.386642,0.52505,0.867743,0.233125,0.200645,0.523695,0.864556,0.226463,0.215907
2018-19,ATL,82,-5.434964,0.522684,0.856861,0.247981,0.193936,0.541823,0.872312,0.234012,0.239521
2018-19,BKN,87,-0.651506,0.518563,0.87047,0.234007,0.217362,0.515244,0.882712,0.238164,0.195066
