Game_ID,Game_Date,Home_Team,Road_Team,Home_OFF_Rating,Home_EFG,Home_BH,Home_OREB,Home_FT_Rate,Road_OFF_Rating,Road_EFG,Road_BH,Road_OREB,Road_FT_Rate
0022000052,2020-12-29,OKC,ORL,103.883495,0.557471,0.82663,0.227273,0.114943,114.563107,0.546875,0.903543,0.244898,0.135417
0022000050,2020-12-29,WAS,CHI,98.165138,0.5,0.81965,0.2,0.27381,106.481481,0.522989,0.878345,0.113636,0.275862
0022000046,2020-12-29,CLE,NYK,86.868687,0.403409,0.882544,0.254545,0.170455,95.959596,0.518987,0.765706,0.325581,0.164557
0022000048,2020-12-29,IND,BOS,109.90099,0.583333,0.858544,0.114286,0.154762,116.0,0.55625,0.87305,0.272727,0.3375
0022000049,2020-12-29,PHI,TOR,94.339623,0.428571,0.831252,0.195652,0.333333,89.423077,0.45,0.827824,0.181818,0.133333
0022000047,2020-12-29,DET,GSW,108.163265,0.451087,0.874749,0.307692,0.25,117.171717,0.592105,0.828582,0.121212,0.342105
0022000051,2020-12-29,MIA,MIL,94.174757,0.537975,0.798017,0.078947,0.151899,139.805825,0.711957,0.852941,0.27027,0.141304
0022000055,2020-12-29,SAC,DEN,123.762376,0.574468,0.904081,0.272727,0.180851,113.861386,0.611111,0.817851,0.21875,0.197531
0022000053,2020-12-29,PHX,NOP,120.652174,0.553571,0.885013,0.26087,0.214286,91.489362,0.5,0.825107,0.184211,0.116883
0022000054,2020-12-29,LAC,MIN,126.530612,0.625,0.863686,0.2,0.159091,102.020202,0.488764,0.87328,0.22,0.157303
0022000061,2020-12-30,LAC,POR,124.271845,0.589474,0.90491,0.234043,0.168421,101.941748,0.5,0.82721,0.121951,0.381579
0022000057,2020-12-30,BKN,ATL,135.514019,0.635,0.924446,0.195652,0.18,129.357798,0.565657,0.905063,0.354167,0.292929
0022000060,2020-12-30,SAS,LAL,104.901961,0.517241,0.898261,0.148936,0.195402,119.80198,0.646341,0.842301,0.179487,0.182927
0022000059,2020-12-30,DAL,CHA,96.116505,0.45977,0.878809,0.254902,0.218391,116.831683,0.60119,0.795292,0.315789,0.202381
0022000056,2020-12-30,BOS,MEM,123.529412,0.626374,0.858607,0.238095,0.131868,102.884615,0.478495,0.825397,0.304348,0.193548
0022000058,2020-12-30,MIA,MIL,112.264151,0.579268,0.811579,0.243902,0.292683,102.857143,0.470588,0.892313,0.275862,0.117647
0022000065,2020-12-31,HOU,SAC,114.018692,0.598837,0.843478,0.243902,0.22093,111.214953,0.526042,0.876604,0.285714,0.1875
0022000067,2020-12-31,OKC,NOP,81.632653,0.46875,0.820076,0.137255,0.0625,115.306122,0.554945,0.8843,0.297872,0.131868
0022000066,2020-12-31,TOR,NYK,99.009901,0.512048,0.83672,0.1875,0.180723,82.178218,0.380682,0.858156,0.169811,0.181818
0022000068,2020-12-31,UTA,PHX,97.938144,0.488095,0.868372,0.217391,0.154762,108.163265,0.589286,0.854932,0.121951,0.083333
0022000062,2020-12-31,IND,CLE,120.20202,0.574713,0.874507,0.219512,0.218391,100.0,0.52439,0.837192,0.23913,0.158537
0022000064,2020-12-31,ORL,PHI,89.320388,0.384211,0.904547,0.175439,0.2,112.621359,0.565934,0.866785,0.155556,0.142857
0022000063,2020-12-31,WAS,CHI,126.213592,0.583333,0.879352,0.204545,0.380952,127.884615,0.619565,0.858333,0.243243,0.206522
0022000073,2021-01-01,MIL,CHI,115.59633,0.623529,0.852431,0.121951,0.235294,86.486486,0.471264,0.820205,0.133333,0.16092
0022000074,2021-01-01,MIN,WAS,104.807692,0.551136,0.82941,0.23913,0.136364,123.809524,0.640449,0.859944,0.2,0.179775
0022000077,2021-01-01,UTA,LAC,115.217391,0.544944,0.871748,0.295455,0.101124,109.89011,0.464706,0.905267,0.266667,0.247059
0022000076,2021-01-01,DEN,PHX,110.752688,0.523256,0.885758,0.216216,0.151163,113.978495,0.572368,0.833725,0.210526,0.25
0022000072,2021-01-01,BKN,ATL,96.0,0.447674,0.865011,0.208333,0.22093,115.151515,0.548387,0.900145,0.222222,0.129032
0022000069,2021-01-01,CHA,MEM,93.0,0.459302,0.833683,0.208333,0.162791,106.930693,0.555556,0.847397,0.238095,0.088889
0022000075,2021-01-01,SAS,LAL,103.0,0.5,0.881213,0.16,0.211765,106.862745,0.475248,0.892597,0.301887,0.128713
0022000071,2021-01-01,DAL,MIA,93.939394,0.487179,0.83828,0.1,0.217949,85.56701,0.416667,0.847619,0.1,0.230769
0022000078,2021-01-01,GSW,POR,95.145631,0.436709,0.861777,0.065217,0.367089,119.417476,0.543478,0.913194,0.163265,0.25
0022000070,2021-01-01,DET,BOS,94.117647,0.471591,0.828767,0.244898,0.147727,89.423077,0.518072,0.809368,0.162791,0.084337
0022000083,2021-01-02,ATL,CLE,93.814433,0.476471,0.809293,0.326087,0.117647,100.0,0.456044,0.867818,0.3125,0.142857
0022000079,2021-01-02,HOU,SAC,104.081633,0.524691,0.866819,0.153846,0.209877,96.907216,0.438889,0.868697,0.25,0.166667
0022000080,2021-01-02,IND,NYK,109.677419,0.517857,0.91082,0.108696,0.178571,112.765957,0.578313,0.847212,0.27027,0.120482
0022000082,2021-01-02,PHI,CHA,123.300971,0.696203,0.802797,0.212121,0.21519,107.692308,0.483696,0.89605,0.269231,0.25
0022000084,2021-01-02,NOP,TOR,121.212121,0.506024,0.888584,0.318182,0.433735,116.0,0.494505,0.91141,0.217391,0.285714
0022000081,2021-01-02,ORL,OKC,100.0,0.416667,0.949698,0.245902,0.083333,106.930693,0.517442,0.888101,0.130435,0.22093
0022000086,2021-01-03,BKN,WAS,112.962963,0.580247,0.825541,0.162791,0.345679,112.844037,0.471154,0.944427,0.22807,0.240385
0022000089,2021-01-03,SAS,UTA,102.830189,0.447619,0.942263,0.225806,0.142857,121.495327,0.668539,0.829584,0.225,0.123596
0022000091,2021-01-03,PHX,LAC,115.053763,0.56,0.861824,0.194444,0.306667,120.430108,0.584337,0.901342,0.195122,0.180723
