Game_ID,Game_Date,Home_Team,Road_Team,Home_OFF_Rating,Home_EFG,Home_BH,Home_OREB,Home_FT_Rate,Road_OFF_Rating,Road_EFG,Road_BH,Road_OREB,Road_FT_Rate
0022300061,2023-10-24,DEN,LAL,125.263158,0.604396,0.889176,0.225,0.098901,111.458333,0.511111,0.891697,0.282609,0.166667
0022300062,2023-10-24,GSW,PHX,101.960784,0.405941,0.911519,0.295082,0.217822,106.930693,0.5,0.843596,0.354167,0.136842
0022300069,2023-10-25,TOR,MIN,96.039604,0.477778,0.873919,0.148148,0.122222,93.069307,0.38,0.886805,0.290909,0.18
0022300073,2023-10-25,SAS,DAL,111.214953,0.578652,0.838545,0.204545,0.179775,117.757009,0.550505,0.900925,0.265306,0.171717
0022300063,2023-10-25,CHA,ATL,111.538462,0.563953,0.836826,0.285714,0.22093,105.769231,0.446237,0.899598,0.235294,0.290323
0022300064,2023-10-25,IND,WAS,128.828829,0.616822,0.903444,0.227273,0.102804,109.090909,0.505208,0.885956,0.211538,0.239583
0022300071,2023-10-25,MEM,NOP,100.0,0.483516,0.884752,0.163265,0.175824,107.76699,0.552941,0.818465,0.275,0.2
0022300072,2023-10-25,UTA,SAC,108.571429,0.5,0.881996,0.347826,0.252747,123.809524,0.553922,0.90228,0.283019,0.166667
0022300065,2023-10-25,NYK,BOS,107.216495,0.463918,0.907904,0.303571,0.14433,112.5,0.558442,0.871845,0.189189,0.285714
0022300067,2023-10-25,BKN,CLE,113.0,0.553571,0.841326,0.309524,0.238095,115.151515,0.558511,0.907749,0.195652,0.095745
0022300070,2023-10-25,CHI,OKC,105.050505,0.478723,0.886878,0.254902,0.148936,124.0,0.664634,0.848943,0.147059,0.182927
0022300066,2023-10-25,ORL,HOU,120.833333,0.534483,0.860189,0.414634,0.264368,90.526316,0.481013,0.819117,0.148936,0.126582
0022300068,2023-10-25,MIA,DET,108.421053,0.445652,0.936617,0.290909,0.228261,106.25,0.505435,0.852941,0.346939,0.097826
0022300074,2023-10-25,LAC,POR,124.242424,0.611111,0.843533,0.358974,0.144444,112.121212,0.526882,0.848076,0.326087,0.139785
0022300075,2023-10-26,MIL,PHI,112.380952,0.574074,0.873692,0.186047,0.308642,112.5,0.6125,0.860231,0.102564,0.2375
0022300076,2023-10-26,LAL,PHX,96.153846,0.458333,0.858106,0.170213,0.27381,90.47619,0.475309,0.791522,0.227273,0.222222
0022300086,2023-10-27,POR,ORL,101.041667,0.448864,0.858707,0.3,0.204545,106.25,0.512658,0.869257,0.238095,0.265823
0022300081,2023-10-27,CLE,OKC,100.0,0.478261,0.879435,0.163265,0.184783,102.857143,0.534483,0.841214,0.130435,0.172414
0022300087,2023-10-27,SAC,GSW,108.571429,0.5,0.884068,0.238095,0.212766,117.307692,0.632184,0.830599,0.184211,0.137931
0022300084,2023-10-27,DAL,BKN,123.762376,0.565934,0.919872,0.177778,0.241758,117.647059,0.603261,0.857651,0.238095,0.097826
0022300085,2023-10-27,UTA,LAC,120.0,0.520833,0.883021,0.361702,0.208333,118.0,0.623377,0.848082,0.176471,0.285714
0022300078,2023-10-27,MEM,DEN,100.970874,0.494118,0.819835,0.276596,0.235294,104.854369,0.545455,0.834668,0.146341,0.136364
0022300080,2023-10-27,BOS,MIA,119.0,0.557895,0.873268,0.32,0.136842,112.121212,0.516854,0.892009,0.22,0.213483
0022300082,2023-10-27,CHI,TOR,95.412844,0.414141,0.867519,0.25,0.222222,94.495413,0.517857,0.805085,0.177778,0.190476
0022300077,2023-10-27,CHA,DET,91.666667,0.414773,0.85119,0.211538,0.295455,103.738318,0.511364,0.804878,0.285714,0.238636
0022300079,2023-10-27,ATL,NYK,111.111111,0.551724,0.877408,0.214286,0.275862,118.867925,0.588889,0.864773,0.255319,0.222222
0022300083,2023-10-27,SAS,HOU,113.513514,0.558511,0.855212,0.272727,0.223404,109.90991,0.56,0.858044,0.261905,0.1
0022300091,2023-10-28,CLE,IND,114.141414,0.494949,0.939945,0.327273,0.151515,127.55102,0.566327,0.929503,0.25,0.142857
0022300090,2023-10-28,NOP,NYK,95.049505,0.511494,0.87855,0.085106,0.08046,87.0,0.405556,0.837496,0.290909,0.155556
0022300094,2023-10-28,PHX,UTA,124.752475,0.588235,0.898449,0.189189,0.305882,104.0,0.505495,0.836433,0.319149,0.131868
0022300088,2023-10-28,DET,CHI,126.88172,0.593023,0.847943,0.428571,0.186047,109.677419,0.478495,0.925953,0.254902,0.139785
0022300093,2023-10-28,MIN,MIA,107.070707,0.581395,0.84837,0.175,0.069767,91.836735,0.471264,0.861317,0.183673,0.091954
0022300092,2023-10-28,TOR,PHI,116.304348,0.534483,0.88003,0.282609,0.16092,121.276596,0.55814,0.896461,0.243243,0.209302
0022300089,2023-10-28,WAS,MEM,108.653846,0.516129,0.895361,0.22,0.182796,103.921569,0.532967,0.840652,0.15,0.098901
0022300095,2023-10-29,OKC,DEN,97.938144,0.444444,0.907339,0.155556,0.166667,134.736842,0.664773,0.878186,0.3125,0.125
0022300099,2023-10-29,LAC,SAS,119.417476,0.604396,0.862354,0.225,0.142857,79.807692,0.44375,0.776865,0.133333,0.15
0022300098,2023-10-29,PHI,POR,122.330097,0.554878,0.861592,0.282051,0.426829,95.145631,0.420213,0.86631,0.259259,0.202128
0022300096,2023-10-29,HOU,GSW,101.06383,0.427778,0.933561,0.196078,0.2,111.578947,0.54321,0.866819,0.2,0.222222
0022300097,2023-10-29,MIL,ATL,107.843137,0.546512,0.804754,0.266667,0.186047,122.115385,0.586022,0.857955,0.325,0.193548
